gen island best mean std
0 0 92.172379 14.685766 33.967309
0 1 92.576119 16.008607 35.922661
0 2 91.772379 9.98874 30.245566
0 3 92.524826 4.615479 28.55237
0 4 92.13704 9.094632 28.5663
1 0 92.172379 41.931885 38.711585
1 1 92.576119 32.917646 43.030861
1 2 93.035214 28.503501 42.405249
1 3 92.524826 20.482709 41.928839
1 4 92.13704 32.985236 39.97529
2 0 92.172379 58.692594 37.503688
2 1 92.576119 57.21959 40.080914
2 2 93.035214 44.868597 44.617942
2 3 92.524826 39.556784 44.23243
2 4 92.13704 45.336668 43.217564
3 0 92.172379 66.025568 37.33526
3 1 92.58272 76.361148 25.887006
3 2 93.035214 61.690844 39.40484
3 3 92.524826 51.651283 44.50891
3 4 92.13704 55.543279 39.60758
4 0 92.58272 66.87741 36.012161
4 1 94.482006 89.749452 2.667688
4 2 93.035214 66.890617 33.554324
4 3 92.524826 60.872346 37.580091
4 4 92.172379 57.093056 41.40819
5 0 92.58272 80.601506 22.295798
5 1 94.482006 84.59821 17.564202
5 2 93.035214 65.381343 36.693482
5 3 92.776119 66.065046 33.227388
5 4 92.527 45.6211 44.668581
6 0 92.58272 78.176561 24.440985
6 1 94.482006 83.914246 15.561094
6 2 93.035214 49.221523 44.025699
6 3 92.776119 64.341444 36.4355
6 4 92.527 58.783001 41.582982
7 0 92.58272 77.149199 26.362996
7 1 94.482006 83.10662 22.892801
7 2 93.035214 68.198954 36.625169
7 3 92.776119 81.301624 23.831106
7 4 92.572379 68.819065 34.397531
8 0 94.482006 81.432251 22.138699
8 1 94.482006 79.460416 25.507098
8 2 93.035214 62.613853 38.134411
8 3 92.776119 73.728634 34.668686
8 4 92.58272 74.115523 32.478136
9 0 94.482006 78.505689 21.457263
9 1 94.482006 84.000153 22.831356
9 2 93.035214 78.306509 29.244986
9 3 92.776119 71.532421 35.589548
9 4 92.576119 70.305004 33.303764
10 0 94.482006 78.978099 20.050716
10 1 94.482006 80.693912 24.687538
10 2 93.035214 70.208841 36.014834
10 3 92.776119 55.988125 43.841793
10 4 92.576119 71.332814 32.665016
11 0 94.482006 78.837898 21.666329
11 1 94.482006 75.712504 30.377005
11 2 93.035214 73.221313 35.025478
11 3 92.776119 69.335221 37.152699
11 4 92.576119 74.06323 29.10921
12 0 94.482006 72.839316 27.518761
12 1 94.789365 83.292387 22.778624
12 2 93.035214 65.038419 36.682789
12 3 92.776119 65.411501 35.942813
12 4 92.576119 83.38081 19.650274
13 0 94.482006 62.292925 35.138909
13 1 94.789365 86.331494 18.609315
13 2 93.035214 75.750934 32.340356
13 3 92.776119 71.918793 32.942451
13 4 92.576119 63.798493 38.851894
14 0 94.731096 54.271539 38.851504
14 1 94.789365 87.943837 11.371636
14 2 93.035214 65.075707 38.753465
14 3 92.776119 66.362356 37.588297
14 4 92.576119 55.338007 37.828523
15 0 94.731096 62.651937 34.589082
15 1 94.789365 88.417715 12.301566
15 2 93.035214 84.447765 18.359959
15 3 92.776119 59.765693 36.751904
15 4 92.576119 54.644561 32.294386
16 0 94.789365 73.31707 25.829966
16 1 94.789365 89.441334 9.619537
16 2 93.127 72.421115 31.731168
16 3 92.927 67.791722 34.151379
16 4 94.731096 63.21188 31.329507
17 0 94.789365 79.164404 25.384979
17 1 94.789365 59.504985 40.393565
17 2 93.127 75.749554 30.87355
17 3 92.927 73.337838 29.812979
17 4 94.731096 69.839998 27.4576
18 0 94.789365 86.378443 12.236745
18 1 94.789365 66.96969 35.498169
18 2 93.127 68.532154 32.541525
18 3 92.927 73.500167 25.231352
18 4 94.731096 69.801387 29.801667
19 0 94.789365 85.114553 15.189458
19 1 94.789365 81.627769 22.188686
19 2 93.127 77.269837 25.415256
19 3 92.927 66.578594 33.5557
19 4 94.731096 80.23795 20.668646
