Generation Island NDifferentFitnesses
1 0 21
1 1 32
1 2 22
1 3 16
1 4 22
2 0 20
2 1 22
2 2 22
2 3 21
2 4 22
3 0 16
3 1 19
3 2 23
3 3 21
3 4 26
4 0 21
4 1 18
4 2 25
4 3 19
4 4 19
5 0 20
5 1 23
5 2 19
5 3 20
5 4 22
6 0 24
6 1 30
6 2 21
6 3 23
6 4 14
7 0 25
7 1 23
7 2 23
7 3 17
7 4 20
8 0 26
8 1 24
8 2 22
8 3 19
8 4 16
9 0 32
9 1 19
9 2 17
9 3 27
9 4 21
10 0 31
10 1 19
10 2 20
10 3 22
10 4 18
11 0 35
11 1 24
11 2 21
11 3 23
11 4 22
12 0 40
12 1 24
12 2 24
12 3 24
12 4 18
13 0 37
13 1 26
13 2 18
13 3 23
13 4 20
14 0 33
14 1 27
14 2 21
14 3 22
14 4 24
15 0 40
15 1 29
15 2 16
15 3 26
15 4 29
16 0 37
16 1 30
16 2 24
16 3 24
16 4 30
17 0 34
17 1 32
17 2 25
17 3 25
17 4 26
18 0 33
18 1 33
18 2 26
18 3 25
18 4 25
19 0 37
19 1 31
19 2 23
19 3 25
19 4 23
