Generation Island NDifferentFitnesses
1 0 23
1 1 29
1 2 29
1 3 14
1 4 27
2 0 26
2 1 25
2 2 26
2 3 20
2 4 26
3 0 21
3 1 24
3 2 26
3 3 11
3 4 21
4 0 22
4 1 18
4 2 19
4 3 8
4 4 11
5 0 23
5 1 20
5 2 16
5 3 8
5 4 9
6 0 26
6 1 19
6 2 10
6 3 8
6 4 9
7 0 26
7 1 8
7 2 8
7 3 3
7 4 8
8 0 22
8 1 9
8 2 9
8 3 10
8 4 11
9 0 20
9 1 11
9 2 8
9 3 11
9 4 14
10 0 13
10 1 7
10 2 15
10 3 10
10 4 21
11 0 7
11 1 13
11 2 13
11 3 6
11 4 25
12 0 11
12 1 18
12 2 13
12 3 14
12 4 20
13 0 10
13 1 13
13 2 9
13 3 12
13 4 18
14 0 10
14 1 12
14 2 11
14 3 8
14 4 22
15 0 9
15 1 12
15 2 13
15 3 4
15 4 20
16 0 16
16 1 14
16 2 10
16 3 11
16 4 18
17 0 12
17 1 12
17 2 11
17 3 16
17 4 15
18 0 13
18 1 17
18 2 15
18 3 24
18 4 13
19 0 13
19 1 19
19 2 15
19 3 21
19 4 9
