gen island best mean std
0 0 47.771489 1.881388 12.486387
0 1 56.773463 1.061431 15.597895
0 2 56.773463 -0.135521 14.680527
0 3 39.168118 0.849422 12.543162
0 4 30.888012 -0.511219 10.674152
1 0 47.771489 12.405546 18.715636
1 1 56.773463 5.387437 18.847204
1 2 56.773463 12.213684 25.38126
1 3 39.168118 5.874399 15.722711
1 4 30.888012 3.512159 11.650933
2 0 47.771489 9.139045 17.115865
2 1 56.773463 10.208085 22.192792
2 2 56.773463 24.556408 26.734675
2 3 74.74425 20.984945 22.944195
2 4 39.174 10.502486 12.741968
3 0 48.394198 14.278937 17.24681
3 1 65.862273 16.97265 26.35795
3 2 65.773463 39.49478 25.914176
3 3 74.74425 31.141624 26.732315
3 4 39.852506 17.358683 14.889023
4 0 85.99141 18.942516 23.536587
4 1 65.773463 32.966806 28.271682
4 2 74.777424 45.554653 26.926401
4 3 74.76363 49.014237 23.143045
4 4 48.394198 16.213803 14.370387
5 0 85.99141 23.047418 24.059287
5 1 85.253671 49.03766 23.926134
5 2 83.866602 42.218441 28.658766
5 3 74.868774 42.092385 25.450292
5 4 48.394198 20.544156 14.459995
6 0 85.99141 19.361623 26.148774
6 1 85.838793 51.947439 21.260671
6 2 83.866602 48.761139 24.694487
6 3 88.19141 48.120418 22.307603
6 4 48.394198 14.348671 12.68158
7 0 85.99141 20.271016 23.497666
7 1 85.838793 53.296157 18.213527
7 2 83.866602 44.530503 22.169952
7 3 88.193424 51.725017 23.22189
7 4 48.394198 15.250533 17.046978
8 0 85.99141 30.637521 25.868896
8 1 83.866602 51.637149 21.610641
8 2 90.843021 47.539818 26.532951
8 3 87.593424 56.457004 21.241396
8 4 85.99141 18.163824 23.467611
9 0 85.99141 39.0682 26.583824
9 1 86.840905 58.508093 15.48144
9 2 90.843021 53.154584 26.685305
9 3 88.668774 55.274816 19.775627
9 4 85.99141 21.305703 20.466769
10 0 85.99141 41.054868 27.400789
10 1 86.840905 51.027079 26.194559
10 2 90.843021 47.319982 27.191091
10 3 89.386285 58.262116 24.377608
10 4 85.99141 19.023419 18.980461
11 0 85.99141 36.775857 25.198058
11 1 86.840905 41.723191 26.359326
11 2 91.873131 58.991423 24.410838
11 3 89.386285 55.522589 19.587026
11 4 85.99141 26.305351 23.144283
12 0 86.840905 48.107304 25.514876
12 1 91.873131 54.052196 23.335482
12 2 91.873131 60.188952 18.245807
12 3 88.668774 57.967986 20.812522
12 4 85.99141 29.709327 20.342753
13 0 86.840905 53.517211 20.119974
13 1 91.873131 52.630975 25.90448
13 2 91.873131 63.093549 17.571954
13 3 88.668774 54.035592 23.733751
13 4 85.99141 29.698779 22.197183
14 0 86.840905 54.396544 12.033943
14 1 91.873131 46.512961 30.761785
14 2 91.873131 63.939956 21.081796
14 3 88.668774 65.394821 16.242937
14 4 85.99141 28.340232 21.468479
15 0 89.097441 56.73924 15.661679
15 1 91.873131 47.736567 32.030234
15 2 91.873131 54.922887 23.178936
15 3 88.668774 44.200527 33.334816
15 4 85.99141 32.206581 22.670932
16 0 91.873131 54.440342 21.591951
16 1 91.873131 57.695978 26.339336
16 2 90.962129 50.106131 26.79116
16 3 87.215851 49.345311 26.405973
16 4 89.097441 41.034419 22.586606
17 0 91.873131 52.292381 20.629341
17 1 91.873131 48.092027 29.340443
17 2 91.473131 53.490045 26.013695
17 3 87.818586 52.4193 19.496929
17 4 89.097441 47.979243 20.481577
18 0 74.777424 45.214125 20.078027
18 1 91.873131 56.653671 25.47938
18 2 91.473131 55.450805 22.137519
18 3 88.193424 62.257362 18.148384
18 4 89.097441 53.5564 17.948697
19 0 87.243021 49.809725 22.258437
19 1 91.873131 52.968335 20.997904
19 2 91.473131 58.152847 21.574096
19 3 88.193424 51.935143 26.307334
19 4 89.097441 53.484729 15.236016
