Generation Island NDifferentFitnesses
1 0 23
1 1 13
1 2 18
1 3 20
1 4 23
2 0 21
2 1 18
2 2 26
2 3 17
2 4 21
3 0 18
3 1 16
3 2 22
3 3 19
3 4 27
4 0 18
4 1 16
4 2 21
4 3 17
4 4 24
5 0 21
5 1 19
5 2 18
5 3 20
5 4 26
6 0 22
6 1 25
6 2 18
6 3 24
6 4 25
7 0 18
7 1 38
7 2 23
7 3 16
7 4 25
8 0 16
8 1 35
8 2 22
8 3 14
8 4 25
9 0 16
9 1 35
9 2 26
9 3 10
9 4 28
10 0 14
10 1 34
10 2 23
10 3 14
10 4 28
11 0 15
11 1 38
11 2 25
11 3 13
11 4 29
12 0 21
12 1 37
12 2 25
12 3 20
12 4 26
13 0 20
13 1 30
13 2 25
13 3 19
13 4 22
14 0 20
14 1 25
14 2 23
14 3 14
14 4 23
15 0 19
15 1 25
15 2 27
15 3 18
15 4 21
16 0 20
16 1 34
16 2 25
16 3 20
16 4 24
17 0 21
17 1 36
17 2 29
17 3 23
17 4 26
18 0 24
18 1 32
18 2 33
18 3 21
18 4 27
19 0 20
19 1 27
19 2 28
19 3 21
19 4 21
