gen island best mean std
0 0 91.772379 10.754762 33.479823
0 1 87.68188 4.462002 21.227654
0 2 91.772379 18.267511 36.395743
0 3 92.363558 3.849579 23.747075
0 4 89.537405 10.570258 28.425731
1 0 92.327 22.557944 40.675875
1 1 91.772379 27.079944 35.941215
1 2 92.33704 38.282835 42.791242
1 3 92.576119 17.251963 35.470655
1 4 92.576119 34.730177 39.233166
2 0 92.327 31.568629 43.998995
2 1 91.772379 36.871985 37.421392
2 2 92.53704 48.531018 40.975414
2 3 92.576119 26.18105 34.191559
2 4 92.58272 48.120122 40.46501
3 0 92.327 47.367918 41.378807
3 1 91.772379 60.026899 34.453906
3 2 92.53704 64.514957 34.629513
3 3 92.576119 44.886964 31.461288
3 4 92.58272 64.919604 38.209275
4 0 92.327 52.889012 40.748602
4 1 91.772379 77.5351 21.742932
4 2 92.53704 67.016744 28.917418
4 3 92.576119 50.432985 27.52183
4 4 92.58272 60.36374 39.966413
5 0 92.327 56.553032 36.186799
5 1 91.772379 78.306053 25.419763
5 2 92.53704 69.602721 26.438581
5 3 92.576119 62.949622 26.926628
5 4 92.58272 70.975501 32.126073
6 0 92.327 76.199913 20.420866
6 1 91.84704 74.516298 28.825106
6 2 92.53704 68.003838 25.766164
6 3 92.58272 67.970029 33.601267
6 4 92.58272 74.168196 29.048669
7 0 93.127 77.304274 22.120794
7 1 91.772379 86.660157 11.505945
7 2 92.53704 70.78036 34.406623
7 3 92.727 77.958612 23.61023
7 4 92.58272 59.742841 40.531084
8 0 93.127 72.80331 31.453283
8 1 92.53704 84.664597 19.370151
8 2 92.53704 62.98868 36.350805
8 3 92.58272 75.969535 29.11363
8 4 92.58272 63.739502 34.592067
9 0 93.127 84.019818 19.237759
9 1 92.53704 79.535584 26.83031
9 2 92.53704 76.599414 28.463961
9 3 92.58272 78.002002 24.213536
9 4 92.58272 73.251024 35.030022
10 0 93.127 83.349733 17.5501
10 1 92.579599 85.868979 15.835796
10 2 92.53704 83.591718 18.936475
10 3 92.58272 88.094641 10.158927
10 4 92.58272 75.512902 33.070776
11 0 93.127 80.129887 24.059041
11 1 92.579599 86.171127 15.547251
11 2 92.53704 71.211586 35.467887
11 3 92.58272 90.065961 6.809525
11 4 92.58272 61.404311 38.34109
12 0 93.127 50.142107 43.685964
12 1 92.579599 88.190161 10.60825
12 2 92.53704 63.306408 32.825262
12 3 92.58272 70.460201 35.829877
12 4 92.58272 67.124916 34.375639
13 0 93.127 67.2221 37.268949
13 1 92.579599 86.883854 13.103317
13 2 92.53704 76.277625 25.556498
13 3 92.58272 84.114363 15.013534
13 4 92.58272 77.732544 26.692992
14 0 93.127 68.670015 32.300718
14 1 92.579599 83.836689 18.273211
14 2 92.53704 83.352123 20.804632
14 3 92.58272 84.23972 17.393885
14 4 92.58272 79.316759 27.369158
15 0 93.127 80.867399 24.291099
15 1 92.579599 62.008173 36.799113
15 2 92.53704 70.296621 33.010277
15 3 92.58272 86.516539 13.300839
15 4 92.58272 65.884884 34.478509
16 0 93.127 62.287096 38.31961
16 1 92.579599 84.18564 15.504853
16 2 92.53704 81.701273 19.228741
16 3 92.58272 73.504839 29.3133
16 4 92.58272 64.416404 30.869435
17 0 93.127 79.42769 28.217557
17 1 92.579599 84.312405 14.56856
17 2 92.53704 77.701192 23.67838
17 3 92.58272 83.552684 20.460508
17 4 92.58272 73.800634 31.120745
18 0 93.127 83.821468 20.961778
18 1 92.579599 83.146161 15.957565
18 2 92.53704 76.841887 23.17978
18 3 92.58272 82.163309 22.181633
18 4 92.58272 73.124939 32.873374
19 0 93.127 88.035489 9.512314
19 1 92.579599 68.419204 31.082571
19 2 92.53704 72.725057 31.900353
19 3 92.58272 84.211328 20.632588
19 4 92.58272 56.863308 39.334709
