Generation Island NDifferentFitnesses
1 0 27
1 1 24
1 2 21
1 3 27
1 4 27
2 0 27
2 1 25
2 2 17
2 3 26
2 4 27
3 0 29
3 1 22
3 2 12
3 3 20
3 4 26
4 0 23
4 1 18
4 2 12
4 3 19
4 4 26
5 0 29
5 1 18
5 2 8
5 3 26
5 4 24
6 0 30
6 1 14
6 2 7
6 3 29
6 4 25
7 0 29
7 1 12
7 2 12
7 3 26
7 4 27
8 0 24
8 1 14
8 2 15
8 3 22
8 4 27
9 0 20
9 1 12
9 2 12
9 3 23
9 4 22
10 0 22
10 1 13
10 2 8
10 3 25
10 4 17
11 0 22
11 1 14
11 2 14
11 3 17
11 4 22
12 0 25
12 1 11
12 2 13
12 3 25
12 4 19
13 0 27
13 1 16
13 2 10
13 3 24
13 4 21
14 0 24
14 1 16
14 2 7
14 3 26
14 4 23
15 0 19
15 1 22
15 2 16
15 3 23
15 4 23
16 0 26
16 1 21
16 2 10
16 3 26
16 4 22
17 0 21
17 1 18
17 2 9
17 3 17
17 4 25
18 0 28
18 1 21
18 2 8
18 3 17
18 4 24
19 0 20
19 1 25
19 2 16
19 3 19
19 4 18
