Generation Island NDifferentFitnesses
1 0 17
1 1 19
1 2 16
1 3 14
1 4 14
2 0 18
2 1 25
2 2 18
2 3 16
2 4 18
3 0 21
3 1 27
3 2 19
3 3 14
3 4 15
4 0 20
4 1 25
4 2 23
4 3 18
4 4 16
5 0 28
5 1 28
5 2 17
5 3 15
5 4 29
6 0 22
6 1 28
6 2 17
6 3 11
6 4 23
7 0 20
7 1 26
7 2 23
7 3 13
7 4 25
8 0 26
8 1 26
8 2 23
8 3 22
8 4 28
9 0 23
9 1 28
9 2 22
9 3 27
9 4 29
10 0 28
10 1 31
10 2 21
10 3 32
10 4 30
11 0 28
11 1 26
11 2 19
11 3 32
11 4 35
12 0 26
12 1 26
12 2 23
12 3 29
12 4 29
13 0 33
13 1 28
13 2 26
13 3 29
13 4 32
14 0 34
14 1 31
14 2 24
14 3 31
14 4 31
15 0 28
15 1 28
15 2 18
15 3 27
15 4 32
16 0 30
16 1 28
16 2 29
16 3 28
16 4 35
17 0 31
17 1 34
17 2 25
17 3 22
17 4 32
18 0 30
18 1 34
18 2 24
18 3 32
18 4 35
19 0 31
19 1 25
19 2 21
19 3 27
19 4 33
