Generation Island NDifferentFitnesses
1 0 30
1 1 28
1 2 28
1 3 25
1 4 31
2 0 25
2 1 20
2 2 25
2 3 22
2 4 31
3 0 24
3 1 18
3 2 19
3 3 17
3 4 28
4 0 23
4 1 13
4 2 20
4 3 20
4 4 30
5 0 22
5 1 18
5 2 20
5 3 19
5 4 24
6 0 21
6 1 18
6 2 20
6 3 19
6 4 24
7 0 18
7 1 19
7 2 19
7 3 28
7 4 23
8 0 14
8 1 20
8 2 16
8 3 24
8 4 25
9 0 19
9 1 22
9 2 18
9 3 26
9 4 23
10 0 19
10 1 22
10 2 19
10 3 25
10 4 35
11 0 16
11 1 25
11 2 22
11 3 22
11 4 28
12 0 20
12 1 26
12 2 20
12 3 22
12 4 27
13 0 18
13 1 26
13 2 22
13 3 30
13 4 30
14 0 21
14 1 25
14 2 17
14 3 22
14 4 29
15 0 19
15 1 18
15 2 18
15 3 22
15 4 25
16 0 26
16 1 25
16 2 24
16 3 23
16 4 21
17 0 25
17 1 29
17 2 19
17 3 18
17 4 25
18 0 30
18 1 29
18 2 30
18 3 17
18 4 24
19 0 21
19 1 20
19 2 29
19 3 24
19 4 32
