Generation Island NDifferentFitnesses
1 0 23
1 1 23
1 2 26
1 3 26
1 4 22
2 0 21
2 1 20
2 2 22
2 3 23
2 4 17
3 0 13
3 1 27
3 2 24
3 3 18
3 4 13
4 0 16
4 1 21
4 2 16
4 3 16
4 4 12
5 0 17
5 1 15
5 2 19
5 3 11
5 4 11
6 0 15
6 1 20
6 2 14
6 3 12
6 4 15
7 0 9
7 1 23
7 2 14
7 3 13
7 4 10
8 0 7
8 1 18
8 2 7
8 3 11
8 4 8
9 0 10
9 1 22
9 2 11
9 3 9
9 4 8
10 0 7
10 1 19
10 2 8
10 3 15
10 4 13
11 0 6
11 1 15
11 2 11
11 3 11
11 4 12
12 0 13
12 1 16
12 2 13
12 3 10
12 4 12
13 0 15
13 1 10
13 2 15
13 3 11
13 4 14
14 0 15
14 1 12
14 2 14
14 3 15
14 4 21
15 0 12
15 1 13
15 2 13
15 3 12
15 4 14
16 0 10
16 1 11
16 2 11
16 3 15
16 4 13
17 0 11
17 1 11
17 2 11
17 3 13
17 4 9
18 0 12
18 1 7
18 2 10
18 3 16
18 4 10
19 0 9
19 1 11
19 2 8
19 3 17
19 4 14
