Generation Island NDifferentFitnesses
1 0 25
1 1 22
1 2 24
1 3 24
1 4 21
2 0 17
2 1 17
2 2 25
2 3 20
2 4 17
3 0 15
3 1 20
3 2 25
3 3 28
3 4 22
4 0 13
4 1 20
4 2 20
4 3 26
4 4 27
5 0 11
5 1 14
5 2 18
5 3 23
5 4 22
6 0 8
6 1 17
6 2 20
6 3 20
6 4 26
7 0 14
7 1 20
7 2 17
7 3 23
7 4 20
8 0 15
8 1 17
8 2 16
8 3 23
8 4 18
9 0 12
9 1 20
9 2 15
9 3 24
9 4 19
10 0 22
10 1 13
10 2 16
10 3 19
10 4 17
11 0 22
11 1 12
11 2 17
11 3 20
11 4 11
12 0 23
12 1 19
12 2 19
12 3 17
12 4 16
13 0 15
13 1 20
13 2 23
13 3 21
13 4 14
14 0 19
14 1 15
14 2 30
14 3 17
14 4 17
15 0 13
15 1 18
15 2 17
15 3 23
15 4 22
16 0 13
16 1 17
16 2 19
16 3 20
16 4 13
17 0 14
17 1 21
17 2 27
17 3 15
17 4 16
18 0 19
18 1 25
18 2 23
18 3 17
18 4 17
19 0 24
19 1 27
19 2 21
19 3 15
19 4 18
