Generation Island NDifferentFitnesses
1 0 23
1 1 17
1 2 15
1 3 16
1 4 12
2 0 28
2 1 18
2 2 15
2 3 19
2 4 14
3 0 28
3 1 20
3 2 14
3 3 24
3 4 13
4 0 25
4 1 19
4 2 13
4 3 26
4 4 15
5 0 29
5 1 16
5 2 16
5 3 27
5 4 8
6 0 31
6 1 18
6 2 15
6 3 27
6 4 6
7 0 32
7 1 18
7 2 19
7 3 23
7 4 8
8 0 32
8 1 22
8 2 14
8 3 25
8 4 8
9 0 31
9 1 18
9 2 11
9 3 26
9 4 4
10 0 19
10 1 13
10 2 14
10 3 22
10 4 5
11 0 24
11 1 17
11 2 15
11 3 25
11 4 11
12 0 27
12 1 17
12 2 14
12 3 24
12 4 13
13 0 26
13 1 22
13 2 16
13 3 26
13 4 12
14 0 26
14 1 19
14 2 19
14 3 29
14 4 19
15 0 23
15 1 14
15 2 21
15 3 20
15 4 16
16 0 31
16 1 18
16 2 19
16 3 31
16 4 23
17 0 34
17 1 24
17 2 23
17 3 28
17 4 21
18 0 30
18 1 15
18 2 23
18 3 30
18 4 23
19 0 28
19 1 17
19 2 21
19 3 24
19 4 20
