Generation Island NDifferentFitnesses
1 0 26
1 1 22
1 2 18
1 3 26
1 4 20
2 0 22
2 1 23
2 2 15
2 3 20
2 4 19
3 0 22
3 1 24
3 2 15
3 3 14
3 4 17
4 0 17
4 1 20
4 2 14
4 3 10
4 4 15
5 0 19
5 1 21
5 2 15
5 3 15
5 4 15
6 0 26
6 1 19
6 2 16
6 3 16
6 4 16
7 0 22
7 1 20
7 2 12
7 3 19
7 4 10
8 0 22
8 1 17
8 2 12
8 3 25
8 4 18
9 0 27
9 1 17
9 2 17
9 3 21
9 4 12
10 0 30
10 1 13
10 2 14
10 3 18
10 4 16
11 0 26
11 1 18
11 2 20
11 3 20
11 4 13
12 0 22
12 1 17
12 2 14
12 3 20
12 4 19
13 0 21
13 1 17
13 2 17
13 3 19
13 4 16
14 0 19
14 1 17
14 2 13
14 3 21
14 4 14
15 0 24
15 1 16
15 2 16
15 3 24
15 4 13
16 0 20
16 1 12
16 2 18
16 3 23
16 4 20
17 0 18
17 1 18
17 2 14
17 3 20
17 4 18
18 0 18
18 1 19
18 2 18
18 3 22
18 4 15
19 0 20
19 1 14
19 2 14
19 3 23
19 4 10
