Generation Island NDifferentFitnesses
1 0 18
1 1 22
1 2 22
1 3 18
1 4 27
2 0 19
2 1 24
2 2 18
2 3 17
2 4 30
3 0 18
3 1 23
3 2 16
3 3 16
3 4 30
4 0 23
4 1 25
4 2 22
4 3 19
4 4 24
5 0 15
5 1 32
5 2 30
5 3 26
5 4 21
6 0 14
6 1 27
6 2 23
6 3 33
6 4 18
7 0 17
7 1 21
7 2 27
7 3 31
7 4 21
8 0 18
8 1 20
8 2 26
8 3 32
8 4 18
9 0 25
9 1 20
9 2 29
9 3 34
9 4 17
10 0 26
10 1 14
10 2 29
10 3 35
10 4 17
11 0 27
11 1 13
11 2 26
11 3 28
11 4 19
12 0 25
12 1 19
12 2 33
12 3 21
12 4 14
13 0 22
13 1 17
13 2 35
13 3 25
13 4 15
14 0 13
14 1 17
14 2 33
14 3 24
14 4 16
15 0 14
15 1 23
15 2 38
15 3 28
15 4 17
16 0 16
16 1 31
16 2 31
16 3 21
16 4 19
17 0 15
17 1 21
17 2 28
17 3 24
17 4 16
18 0 16
18 1 27
