Generation Island NDifferentFitnesses
1 0 17
1 1 20
1 2 8
1 3 21
1 4 17
2 0 23
2 1 24
2 2 9
2 3 19
2 4 13
3 0 23
3 1 21
3 2 12
3 3 16
3 4 17
4 0 22
4 1 10
4 2 8
4 3 12
4 4 23
5 0 18
5 1 7
5 2 10
5 3 11
5 4 18
6 0 24
6 1 5
6 2 12
6 3 12
6 4 18
7 0 21
7 1 10
7 2 16
7 3 10
7 4 22
8 0 30
8 1 15
8 2 14
8 3 10
8 4 14
9 0 23
9 1 18
9 2 16
9 3 16
9 4 23
10 0 19
10 1 13
10 2 15
10 3 18
10 4 22
11 0 19
11 1 12
11 2 11
11 3 16
11 4 18
12 0 24
12 1 18
12 2 13
12 3 15
12 4 27
13 0 21
13 1 17
13 2 13
13 3 20
13 4 25
14 0 21
14 1 14
14 2 16
14 3 17
14 4 26
15 0 23
15 1 16
15 2 16
15 3 20
15 4 25
16 0 24
16 1 19
16 2 17
16 3 15
16 4 21
17 0 19
17 1 18
17 2 21
17 3 18
17 4 24
18 0 21
18 1 18
18 2 21
18 3 21
18 4 28
19 0 25
19 1 16
19 2 23
19 3 23
19 4 20
