Generation Island NDifferentFitnesses
1 0 16
1 1 13
1 2 21
1 3 30
1 4 22
2 0 17
2 1 16
2 2 27
2 3 22
2 4 16
3 0 18
3 1 12
3 2 24
3 3 18
3 4 18
4 0 17
4 1 18
4 2 25
4 3 23
4 4 17
5 0 20
5 1 13
5 2 20
5 3 25
5 4 17
6 0 17
6 1 14
6 2 18
6 3 18
6 4 13
7 0 22
7 1 15
7 2 18
7 3 17
7 4 15
8 0 21
8 1 23
8 2 28
8 3 13
8 4 18
9 0 19
9 1 26
9 2 20
9 3 19
9 4 16
10 0 27
10 1 17
10 2 16
10 3 20
10 4 14
11 0 22
11 1 24
11 2 23
11 3 20
11 4 15
12 0 24
12 1 22
12 2 23
12 3 26
12 4 21
13 0 26
13 1 20
13 2 21
13 3 16
13 4 18
14 0 29
14 1 21
14 2 23
14 3 18
14 4 17
15 0 24
15 1 24
15 2 23
15 3 13
15 4 13
16 0 26
16 1 23
16 2 21
16 3 21
16 4 20
17 0 25
17 1 20
17 2 22
17 3 20
17 4 20
18 0 27
18 1 18
