Generation Island NDifferentFitnesses
1 0 24
1 1 21
1 2 22
1 3 15
1 4 23
2 0 25
2 1 20
2 2 16
2 3 18
2 4 22
3 0 21
3 1 18
3 2 13
3 3 18
3 4 21
4 0 21
4 1 20
4 2 11
4 3 12
4 4 26
5 0 14
5 1 13
5 2 13
5 3 13
5 4 20
6 0 12
6 1 13
6 2 11
6 3 15
6 4 18
7 0 12
7 1 14
7 2 14
7 3 19
7 4 19
8 0 13
8 1 17
8 2 14
8 3 13
8 4 25
9 0 17
9 1 16
9 2 18
9 3 18
9 4 20
10 0 17
10 1 17
10 2 18
10 3 20
10 4 16
11 0 14
11 1 14
11 2 21
11 3 21
11 4 18
12 0 17
12 1 14
12 2 25
12 3 18
12 4 19
13 0 22
13 1 17
13 2 21
13 3 13
13 4 17
14 0 19
14 1 19
14 2 18
14 3 9
14 4 15
15 0 21
15 1 16
15 2 19
15 3 8
15 4 16
16 0 19
16 1 19
16 2 21
16 3 13
16 4 22
17 0 23
17 1 23
17 2 20
17 3 17
17 4 18
18 0 16
18 1 25
18 2 21
18 3 19
18 4 17
19 0 15
19 1 26
19 2 26
19 3 17
19 4 24
