Generation Island NDifferentFitnesses
1 0 22
1 1 26
1 2 29
1 3 21
1 4 23
2 0 20
2 1 23
2 2 19
2 3 18
2 4 21
3 0 17
3 1 23
3 2 25
3 3 19
3 4 19
4 0 23
4 1 19
4 2 23
4 3 15
4 4 19
5 0 20
5 1 15
5 2 25
5 3 14
5 4 14
6 0 15
6 1 16
6 2 29
6 3 12
6 4 14
7 0 20
7 1 13
7 2 28
7 3 14
7 4 16
8 0 17
8 1 19
8 2 27
8 3 23
8 4 15
9 0 18
9 1 13
9 2 19
9 3 22
9 4 17
10 0 15
10 1 22
10 2 18
10 3 24
10 4 13
11 0 14
11 1 20
11 2 20
11 3 21
11 4 12
12 0 16
12 1 21
12 2 19
12 3 21
12 4 11
13 0 14
13 1 26
13 2 20
13 3 17
13 4 20
14 0 17
14 1 27
14 2 21
14 3 16
14 4 14
15 0 17
15 1 26
15 2 19
15 3 18
15 4 13
16 0 13
16 1 18
16 2 21
16 3 11
16 4 18
17 0 18
17 1 19
17 2 20
17 3 18
17 4 19
18 0 15
18 1 21
18 2 20
18 3 14
18 4 21
19 0 15
19 1 15
19 2 18
19 3 18
19 4 16
