Generation Island NDifferentFitnesses
1 0 14
1 1 17
1 2 18
1 3 17
1 4 19
2 0 18
2 1 22
2 2 15
2 3 19
2 4 14
3 0 19
3 1 28
3 2 24
3 3 23
3 4 14
4 0 21
4 1 26
4 2 21
4 3 23
4 4 13
5 0 23
5 1 30
5 2 19
5 3 19
5 4 14
6 0 29
6 1 25
6 2 17
6 3 20
6 4 14
7 0 28
7 1 19
7 2 24
7 3 16
7 4 15
8 0 30
8 1 24
8 2 25
8 3 19
8 4 17
9 0 30
9 1 19
9 2 27
9 3 17
9 4 21
10 0 28
10 1 28
10 2 20
10 3 23
10 4 20
11 0 24
11 1 24
11 2 22
11 3 18
11 4 13
12 0 28
12 1 27
12 2 20
12 3 24
12 4 15
13 0 26
13 1 25
13 2 19
13 3 23
13 4 17
14 0 27
14 1 24
14 2 27
14 3 17
14 4 17
15 0 31
15 1 24
15 2 27
15 3 21
15 4 16
16 0 29
16 1 25
16 2 25
16 3 21
16 4 14
17 0 28
17 1 26
17 2 29
17 3 20
17 4 21
18 0 30
18 1 21
18 2 32
18 3 19
18 4 20
19 0 36
19 1 28
19 2 29
19 3 20
19 4 19
