Generation Island NDifferentFitnesses
1 0 21
1 1 25
1 2 19
1 3 33
1 4 22
2 0 16
2 1 19
2 2 24
2 3 26
2 4 16
3 0 13
3 1 17
3 2 15
3 3 19
3 4 18
4 0 12
4 1 14
4 2 18
4 3 17
4 4 12
5 0 7
5 1 13
5 2 13
5 3 18
5 4 13
6 0 12
6 1 13
6 2 15
6 3 13
6 4 15
7 0 17
7 1 20
7 2 15
7 3 9
7 4 14
8 0 20
8 1 20
8 2 16
8 3 15
8 4 14
9 0 15
9 1 15
9 2 18
9 3 6
9 4 14
10 0 21
10 1 15
10 2 14
10 3 14
10 4 15
11 0 23
11 1 18
11 2 15
11 3 12
11 4 14
12 0 21
12 1 19
12 2 11
12 3 9
12 4 15
13 0 20
13 1 18
13 2 17
13 3 6
13 4 16
14 0 17
14 1 19
14 2 15
14 3 11
14 4 25
15 0 19
15 1 22
15 2 8
15 3 11
15 4 20
16 0 25
16 1 21
16 2 9
16 3 9
16 4 25
17 0 25
17 1 20
17 2 5
17 3 16
17 4 26
18 0 25
18 1 24
18 2 7
18 3 17
18 4 29
19 0 25
19 1 18
19 2 16
19 3 16
19 4 28
