Generation Island NDifferentFitnesses
1 0 24
1 1 24
1 2 24
1 3 22
1 4 19
2 0 25
2 1 22
2 2 19
2 3 23
2 4 18
3 0 19
3 1 26
3 2 22
3 3 11
3 4 20
4 0 15
4 1 31
4 2 20
4 3 11
4 4 23
5 0 19
5 1 25
5 2 21
5 3 6
5 4 21
6 0 13
6 1 21
6 2 18
6 3 6
6 4 17
7 0 22
7 1 16
7 2 23
7 3 14
7 4 21
8 0 15
8 1 15
8 2 18
8 3 8
8 4 26
9 0 15
9 1 11
9 2 18
9 3 7
9 4 26
10 0 17
10 1 15
10 2 18
10 3 5
10 4 23
11 0 14
11 1 23
11 2 19
11 3 12
11 4 22
12 0 14
12 1 25
12 2 23
12 3 12
12 4 20
13 0 13
13 1 20
13 2 26
13 3 10
13 4 24
14 0 17
14 1 16
14 2 30
14 3 7
14 4 19
15 0 16
15 1 26
15 2 26
15 3 12
15 4 23
16 0 13
16 1 25
16 2 24
16 3 9
16 4 24
17 0 13
17 1 21
17 2 23
17 3 9
17 4 25
18 0 15
18 1 30
18 2 17
18 3 7
18 4 18
19 0 17
19 1 31
19 2 18
19 3 10
19 4 20
