Generation Island NDifferentFitnesses
1 0 19
1 1 14
1 2 23
1 3 16
1 4 18
2 0 19
2 1 14
2 2 22
2 3 10
2 4 26
3 0 18
3 1 12
3 2 21
3 3 11
3 4 24
4 0 23
4 1 16
4 2 14
4 3 16
4 4 28
5 0 18
5 1 16
5 2 15
5 3 17
5 4 23
6 0 25
6 1 14
6 2 15
6 3 22
6 4 25
7 0 25
7 1 10
7 2 17
7 3 25
7 4 24
8 0 22
8 1 18
8 2 16
8 3 26
8 4 30
9 0 27
9 1 14
9 2 24
9 3 22
9 4 28
10 0 19
10 1 14
10 2 26
10 3 24
10 4 33
11 0 18
11 1 15
11 2 20
11 3 31
11 4 27
12 0 17
12 1 13
12 2 19
12 3 27
12 4 29
13 0 25
13 1 17
13 2 23
13 3 28
13 4 26
14 0 23
14 1 14
14 2 16
14 3 22
14 4 29
15 0 21
15 1 18
15 2 18
15 3 28
15 4 29
16 0 29
16 1 18
16 2 17
16 3 32
16 4 29
17 0 32
17 1 15
17 2 21
17 3 26
17 4 27
18 0 27
18 1 18
18 2 17
18 3 30
18 4 30
19 0 25
19 1 21
19 2 19
19 3 23
19 4 26
