gen island best mean std
0 0 87.727 7.075815 27.749457
0 1 91.772379 10.847468 29.773001
0 2 91.772379 10.602997 26.947198
0 3 91.527 9.624147 30.946647
0 4 91.772379 13.633358 32.773029
1 0 91.772379 28.953752 42.097616
1 1 91.796054 27.715893 39.009767
1 2 92.352976 29.794939 40.684942
1 3 92.13704 28.982041 42.330374
1 4 92.53704 38.295665 40.622586
2 0 92.24704 40.413026 42.355861
2 1 93.127 64.24397 39.621678
2 2 92.352976 47.376764 38.679883
2 3 92.13704 64.199333 38.147883
2 4 92.53704 64.591048 37.285234
3 0 92.24704 52.570692 41.608768
3 1 93.127 80.577293 23.820972
3 2 92.524826 52.533274 40.823348
3 3 93.727 74.887263 30.582557
3 4 92.53704 79.737326 25.902084
4 0 92.527 53.025425 40.03454
4 1 93.127 84.808791 17.234091
4 2 92.524826 56.010898 41.52192
4 3 93.727 78.138726 28.615713
4 4 92.53704 84.507121 20.160935
5 0 92.527 63.956991 37.444419
5 1 93.127 83.962806 19.462978
5 2 92.524826 70.402625 34.952266
5 3 93.727 87.387238 15.010408
5 4 92.53704 83.615795 17.575522
6 0 92.527 68.968717 36.941694
6 1 93.127 78.580434 28.686711
6 2 92.524826 70.30613 33.846515
6 3 93.727 88.278974 15.939878
6 4 92.53704 74.073571 29.433828
7 0 92.527 66.205276 41.633793
7 1 93.127 70.327976 35.562014
7 2 92.58272 70.8958 32.825587
7 3 93.727 90.403116 6.201455
7 4 92.53704 74.611781 26.817092
8 0 92.527 80.822141 28.130064
8 1 93.527 77.504803 30.911473
8 2 93.527 69.530188 38.12395
8 3 93.727 71.321954 37.207104
8 4 92.53704 76.306064 26.568238
9 0 92.527 56.544884 44.338257
9 1 93.527 83.844855 21.598637
9 2 93.527 79.261925 25.255514
9 3 93.727 68.485118 38.759976
9 4 92.662462 74.59757 25.558221
10 0 92.53704 79.588621 29.797367
10 1 93.527 89.678372 3.047046
10 2 93.527 77.671508 25.351907
10 3 93.727 76.534841 29.788029
10 4 92.662462 72.626266 25.591403
11 0 92.53704 73.453713 36.028816
11 1 93.527 89.272369 4.789337
11 2 93.527 80.545361 27.213685
11 3 93.727 75.952718 30.577786
11 4 93.235214 73.419988 23.05428
12 0 92.53704 71.897088 35.108539
12 1 93.727 90.30033 2.932116
12 2 93.527 78.451744 30.168087
12 3 93.727 53.635023 42.646515
12 4 93.38272 84.584432 17.418453
13 0 92.53704 72.185031 34.994944
13 1 93.727 86.423549 14.624607
13 2 93.635214 79.46503 28.381748
13 3 93.727 73.930404 34.684622
13 4 93.38272 78.778932 24.440884
14 0 92.53704 68.846296 38.431466
14 1 93.727 88.99226 9.813232
14 2 93.635214 84.681968 21.69277
14 3 93.727 76.61534 30.399104
14 4 93.38272 80.873464 20.06331
15 0 92.53704 80.35441 28.970605
15 1 93.727 85.869853 16.102151
15 2 93.635214 88.443407 13.601863
15 3 93.727 75.635122 30.342208
15 4 93.38272 84.913162 15.326839
16 0 93.727 75.430324 31.491413
16 1 93.727 90.693338 2.635036
16 2 93.635214 89.057192 11.505777
16 3 93.727 67.226938 40.072481
16 4 93.38272 82.979973 18.507851
17 0 93.727 84.752235 21.012208
17 1 93.727 71.409054 31.841223
17 2 93.635214 88.231825 13.421858
17 3 93.727 73.196586 35.421874
17 4 93.38272 73.97317 37.065715
18 0 93.727 77.898414 31.529346
18 1 91.84704 82.563644 23.151184
18 2 93.635214 75.157399 32.235412
18 3 93.727 73.40671 32.479941
18 4 93.589365 83.24237 20.685888
19 0 93.727 87.456698 13.557448
19 1 93.527 91.717773 0.62166
19 2 93.727 82.905202 23.44997
19 3 93.727 88.137604 13.923475
19 4 93.589365 87.889876 13.414891
