Generation Island NDifferentFitnesses
1 0 22
1 1 24
1 2 19
1 3 26
1 4 24
2 0 21
2 1 25
2 2 20
2 3 22
2 4 25
3 0 19
3 1 26
3 2 21
3 3 25
3 4 23
4 0 21
4 1 19
4 2 19
4 3 18
4 4 23
5 0 19
5 1 12
5 2 20
5 3 17
5 4 19
6 0 13
6 1 12
6 2 17
6 3 24
6 4 15
7 0 16
7 1 13
7 2 20
7 3 19
7 4 24
8 0 15
8 1 7
8 2 19
8 3 22
8 4 16
9 0 15
9 1 10
9 2 22
9 3 24
9 4 18
10 0 16
10 1 18
10 2 22
10 3 25
10 4 18
11 0 14
11 1 14
11 2 24
11 3 31
11 4 22
12 0 13
12 1 15
12 2 26
12 3 21
12 4 13
13 0 16
13 1 16
13 2 25
13 3 25
13 4 15
14 0 22
14 1 24
14 2 29
14 3 26
14 4 16
15 0 13
15 1 21
15 2 27
15 3 27
15 4 18
16 0 15
16 1 26
16 2 22
16 3 21
16 4 20
17 0 18
17 1 21
17 2 17
17 3 26
17 4 16
18 0 22
18 1 25
18 2 28
18 3 28
18 4 15
19 0 25
19 1 19
19 2 22
19 3 26
19 4 19
