Generation Island NDifferentFitnesses
1 0 17
1 1 13
1 2 17
1 3 17
1 4 18
2 0 22
2 1 17
2 2 17
2 3 15
2 4 17
3 0 15
3 1 14
3 2 24
3 3 16
3 4 15
4 0 24
4 1 17
4 2 16
4 3 11
4 4 17
5 0 14
5 1 13
5 2 15
5 3 9
5 4 13
6 0 14
6 1 14
6 2 12
6 3 8
6 4 12
7 0 10
7 1 8
7 2 13
7 3 5
7 4 12
8 0 12
8 1 12
8 2 10
8 3 5
8 4 20
9 0 17
9 1 8
9 2 14
9 3 15
9 4 17
10 0 12
10 1 14
10 2 6
10 3 12
10 4 23
11 0 13
11 1 19
11 2 5
11 3 9
11 4 22
12 0 13
12 1 16
12 2 5
12 3 9
12 4 20
13 0 24
13 1 18
13 2 8
13 3 9
13 4 20
14 0 20
14 1 14
14 2 4
14 3 11
14 4 25
15 0 16
15 1 18
15 2 4
15 3 11
15 4 23
16 0 13
16 1 14
16 2 7
16 3 13
16 4 18
17 0 19
17 1 14
17 2 9
17 3 13
17 4 16
18 0 19
18 1 15
18 2 12
18 3 13
18 4 19
19 0 18
19 1 16
19 2 13
19 3 15
19 4 17
