Generation Island NDifferentFitnesses
1 0 15
1 1 13
1 2 21
1 3 24
1 4 27
2 0 24
2 1 14
2 2 18
2 3 27
2 4 25
3 0 26
3 1 12
3 2 13
3 3 33
3 4 12
4 0 25
4 1 24
4 2 11
4 3 33
4 4 8
5 0 29
5 1 31
5 2 10
5 3 29
5 4 11
6 0 26
6 1 32
6 2 13
6 3 22
6 4 11
7 0 25
7 1 31
7 2 15
7 3 29
7 4 9
8 0 22
8 1 27
8 2 19
8 3 24
8 4 13
9 0 24
9 1 30
9 2 13
9 3 29
9 4 19
10 0 19
10 1 29
10 2 12
10 3 29
10 4 16
11 0 25
11 1 29
11 2 20
11 3 25
11 4 14
12 0 25
12 1 26
12 2 17
12 3 28
12 4 17
13 0 19
13 1 27
13 2 18
13 3 27
13 4 14
14 0 19
14 1 26
14 2 13
14 3 25
14 4 17
15 0 18
15 1 29
15 2 18
15 3 30
15 4 15
16 0 28
16 1 22
16 2 20
16 3 30
16 4 14
17 0 27
17 1 21
17 2 24
17 3 31
17 4 15
18 0 27
18 1 25
18 2 20
18 3 28
18 4 18
19 0 23
19 1 22
19 2 24
19 3 30
19 4 21
