Generation Island NDifferentFitnesses
1 0 21
1 1 22
1 2 18
1 3 23
1 4 24
2 0 20
2 1 20
2 2 28
2 3 26
2 4 23
3 0 16
3 1 22
3 2 28
3 3 24
3 4 18
4 0 13
4 1 27
4 2 28
4 3 20
4 4 20
5 0 12
5 1 32
5 2 26
5 3 15
5 4 22
6 0 15
6 1 34
6 2 28
6 3 9
6 4 23
7 0 13
7 1 35
7 2 32
7 3 8
7 4 16
8 0 14
8 1 37
8 2 24
8 3 16
8 4 14
9 0 12
9 1 36
9 2 27
9 3 13
9 4 13
10 0 16
10 1 31
10 2 25
10 3 16
10 4 14
11 0 14
11 1 36
11 2 26
11 3 15
11 4 11
12 0 19
12 1 32
12 2 31
12 3 14
12 4 20
13 0 14
13 1 27
13 2 26
13 3 24
13 4 23
14 0 12
14 1 31
14 2 32
14 3 23
14 4 21
15 0 21
15 1 26
15 2 32
15 3 19
15 4 21
16 0 20
16 1 23
16 2 32
16 3 19
16 4 25
17 0 13
17 1 30
17 2 33
17 3 19
17 4 18
18 0 11
18 1 21
18 2 22
18 3 24
18 4 20
19 0 23
19 1 17
19 2 18
19 3 24
19 4 12
