Generation Island NDifferentFitnesses
1 0 22
1 1 20
1 2 14
1 3 17
1 4 22
2 0 19
2 1 22
2 2 17
2 3 19
2 4 24
3 0 23
3 1 17
3 2 18
3 3 16
3 4 20
4 0 23
4 1 13
4 2 14
4 3 21
4 4 22
5 0 19
5 1 11
5 2 8
5 3 20
5 4 20
6 0 12
6 1 13
6 2 13
6 3 20
6 4 14
7 0 12
7 1 14
7 2 13
7 3 17
7 4 14
8 0 13
8 1 18
8 2 15
8 3 21
8 4 14
9 0 14
9 1 20
9 2 16
9 3 22
9 4 15
10 0 16
10 1 12
10 2 21
10 3 18
10 4 12
11 0 11
11 1 21
11 2 30
11 3 26
11 4 16
12 0 7
12 1 20
12 2 26
12 3 16
12 4 15
13 0 14
13 1 15
13 2 22
13 3 21
13 4 17
14 0 15
14 1 21
14 2 30
14 3 22
14 4 16
15 0 11
15 1 17
15 2 27
15 3 28
15 4 14
16 0 11
16 1 24
16 2 34
16 3 19
16 4 14
17 0 12
17 1 26
17 2 30
17 3 22
17 4 13
18 0 13
18 1 27
18 2 35
18 3 21
18 4 13
19 0 18
19 1 28
19 2 31
19 3 22
19 4 12
