Generation Island NDifferentFitnesses
1 0 22
1 1 30
1 2 29
1 3 18
1 4 25
2 0 21
2 1 23
2 2 21
2 3 18
2 4 20
3 0 22
3 1 18
3 2 29
3 3 23
3 4 19
4 0 18
4 1 18
4 2 23
4 3 18
4 4 21
5 0 18
5 1 13
5 2 28
5 3 18
5 4 12
6 0 16
6 1 22
6 2 26
6 3 18
6 4 6
7 0 9
7 1 27
7 2 30
7 3 18
7 4 18
8 0 11
8 1 27
8 2 30
8 3 18
8 4 12
9 0 14
9 1 28
9 2 25
9 3 18
9 4 13
10 0 12
10 1 24
10 2 16
10 3 16
10 4 17
11 0 14
11 1 24
11 2 13
11 3 16
11 4 11
12 0 19
12 1 27
12 2 13
12 3 15
12 4 12
13 0 20
13 1 25
13 2 10
13 3 16
13 4 19
14 0 20
14 1 30
14 2 15
14 3 18
14 4 9
15 0 16
15 1 24
15 2 17
15 3 15
15 4 5
16 0 21
16 1 26
16 2 18
16 3 17
16 4 7
17 0 20
17 1 20
17 2 18
17 3 17
17 4 7
18 0 25
18 1 22
18 2 14
18 3 22
18 4 8
19 0 24
19 1 22
19 2 15
19 3 19
19 4 11
