Generation Island NDifferentFitnesses
1 0 26
1 1 22
1 2 28
1 3 25
1 4 22
2 0 20
2 1 19
2 2 24
2 3 21
2 4 23
3 0 20
3 1 21
3 2 23
3 3 24
3 4 24
4 0 19
4 1 23
4 2 26
4 3 24
4 4 20
5 0 19
5 1 18
5 2 22
5 3 23
5 4 22
6 0 19
6 1 21
6 2 25
6 3 27
6 4 25
7 0 15
7 1 17
7 2 19
7 3 25
7 4 22
8 0 20
8 1 23
8 2 21
8 3 24
8 4 23
9 0 20
9 1 18
9 2 17
9 3 20
9 4 24
10 0 19
10 1 9
10 2 11
10 3 20
10 4 24
11 0 21
11 1 11
11 2 19
11 3 22
11 4 23
12 0 10
12 1 14
12 2 20
12 3 20
12 4 21
13 0 17
13 1 14
13 2 22
13 3 18
13 4 21
14 0 16
14 1 17
14 2 23
14 3 13
14 4 20
15 0 13
15 1 15
15 2 19
15 3 19
15 4 11
16 0 10
16 1 16
16 2 19
16 3 22
16 4 15
17 0 13
17 1 13
17 2 21
17 3 14
17 4 14
18 0 9
18 1 20
18 2 20
18 3 18
18 4 18
19 0 13
19 1 15
19 2 20
19 3 15
19 4 17
