
1 56.77941 11.126051 23.195471
2 65.771489 22.748719 22.326075
3 74.853671 31.924038 25.983666
4 86.238793 41.311082 25.130781
5 86.238793 50.424421 24.680904
6 86.238793 45.995267 25.056537
7 86.99141 53.612989 23.724578
8 87.954995 54.840281 22.157546
9 87.954995 55.013291 20.928231
10 87.954995 56.772649 22.739104
11 87.954995 57.572416 22.885686
12 87.954995 53.198118 26.091227
13 89.218586 54.244689 25.799054
14 89.218586 61.026094 24.65148
15 89.218586 60.947883 22.358627
16 89.218586 56.232087 24.531541
17 89.218586 59.261265 22.148003
18 89.218586 55.687399 24.937683
19 89.218586 54.885596 24.87834
