gen island best mean std
0 0 92.576119 9.132854 29.339959
0 1 91.772379 5.296427 25.096137
0 2 91.772379 6.273732 28.473878
0 3 92.172379 14.99011 36.91984
0 4 91.772379 13.121488 32.761241
1 0 92.576119 23.27872 40.806368
1 1 91.772379 16.624226 39.309413
1 2 91.772379 31.311231 42.926068
1 3 92.531096 35.743558 46.386322
1 4 91.772379 27.216774 41.16658
2 0 92.576119 49.500313 40.772083
2 1 91.876036 34.034278 44.310919
2 2 92.13704 61.242727 41.739328
2 3 92.53704 43.07157 43.747574
2 4 91.84704 45.41207 41.192279
3 0 92.58272 63.446349 35.779046
3 1 92.927 54.687503 41.873347
3 2 92.13704 76.606137 32.998377
3 3 92.58272 49.557889 39.972622
3 4 91.84704 65.084255 37.1525
4 0 92.927 70.210651 29.401032
4 1 92.13704 76.968605 28.906322
4 2 92.58272 84.501013 24.182381
4 3 92.53704 57.394032 34.253799
4 4 92.58272 66.043549 36.698205
5 0 92.927 65.1862 30.794048
5 1 92.927 74.481721 30.789409
5 2 92.58272 71.633375 31.294945
5 3 92.53704 53.912604 43.809998
5 4 93.148962 70.913004 37.972804
6 0 92.927 72.24517 28.787654
6 1 92.927 68.829681 34.731711
6 2 92.58272 75.179657 29.483772
6 3 92.53704 60.01046 36.076567
6 4 93.148962 60.434531 37.119607
7 0 92.927 69.573189 32.404769
7 1 92.927 76.197604 31.137641
7 2 92.776119 70.046976 29.978411
7 3 92.53704 77.20956 28.786558
7 4 93.148962 29.908122 34.789009
8 0 92.927 80.487522 25.047143
8 1 93.727 68.842441 39.16733
8 2 92.58272 68.504378 31.07132
8 3 93.148962 49.166051 45.354065
8 4 92.927 45.747376 36.891247
9 0 92.927 69.372341 35.044416
9 1 93.727 85.232959 23.009896
9 2 92.58272 66.936244 29.074473
9 3 93.148962 70.679906 35.878502
9 4 92.927 66.337622 32.391941
10 0 93.127 75.318099 30.565891
10 1 93.727 91.019889 2.347009
10 2 92.73704 62.431774 34.584319
10 3 93.148962 70.636762 38.369314
10 4 92.927 71.106603 35.128816
11 0 93.127 82.912614 17.24508
11 1 93.727 90.228329 2.869096
11 2 92.73704 68.339935 28.713477
11 3 93.148962 74.166045 35.870671
11 4 92.927 74.800803 34.604897
12 0 93.727 91.187086 2.023108
12 1 93.727 91.193727 2.216285
12 2 93.148962 51.667098 40.644026
12 3 93.148962 77.765432 32.029247
12 4 93.127 82.506068 23.1122
13 0 93.727 89.087969 12.457695
13 1 93.727 77.964958 31.153521
13 2 91.772379 35.895468 34.474149
13 3 93.148962 64.55914 38.507004
13 4 93.127 83.045049 26.30898
14 0 93.727 91.599598 1.620706
14 1 93.727 91.712286 1.020533
14 2 92.372379 53.441695 36.959645
14 3 93.148962 73.989362 35.456111
14 4 93.127 64.019404 42.362682
15 0 93.727 90.325128 10.966368
15 1 93.727 89.26388 15.311289
15 2 92.53704 67.431753 38.572047
15 3 93.148962 68.017866 39.973246
15 4 93.127 65.446157 40.723977
16 0 93.727 91.824576 1.773013
16 1 93.727 90.413092 9.703957
16 2 93.148962 70.313831 35.537431
16 3 93.148962 75.132742 33.764147
16 4 93.727 77.27677 32.206121
17 0 93.727 83.796923 25.598738
17 1 93.727 83.571247 24.123481
17 2 93.148962 48.983716 43.049897
17 3 93.148962 75.798572 31.949213
17 4 93.527 85.853961 18.898097
18 0 93.727 80.275997 30.030664
18 1 93.727 86.430682 19.386617
18 2 93.148962 49.074022 43.495383
18 3 93.148962 80.776167 27.174028
18 4 93.527 89.660649 12.516948
19 0 93.727 90.178081 12.522565
19 1 93.727 88.809661 15.299201
19 2 93.148962 56.468179 44.552238
19 3 93.148962 69.324424 38.521213
19 4 93.727 90.100088 6.876167
