Generation Island NDifferentFitnesses
1 0 20
1 1 18
1 2 22
1 3 20
1 4 20
2 0 29
2 1 19
2 2 14
2 3 18
2 4 18
3 0 24
3 1 31
3 2 11
3 3 25
3 4 15
4 0 26
4 1 21
4 2 11
4 3 21
4 4 17
5 0 29
5 1 18
5 2 25
5 3 13
5 4 10
6 0 24
6 1 12
6 2 22
6 3 12
6 4 22
7 0 26
7 1 14
7 2 28
7 3 11
7 4 22
8 0 16
8 1 12
8 2 22
8 3 11
8 4 18
9 0 19
9 1 17
9 2 23
9 3 13
9 4 17
10 0 21
10 1 13
10 2 28
10 3 8
10 4 20
11 0 20
11 1 18
11 2 27
11 3 6
11 4 16
12 0 21
12 1 19
12 2 26
12 3 8
12 4 11
13 0 26
13 1 19
13 2 24
13 3 14
13 4 10
14 0 18
14 1 19
14 2 18
14 3 11
14 4 14
15 0 17
15 1 16
15 2 15
15 3 10
15 4 22
16 0 20
16 1 16
16 2 12
16 3 9
16 4 20
17 0 21
17 1 16
17 2 20
17 3 14
17 4 23
18 0 20
18 1 13
18 2 21
18 3 10
18 4 17
19 0 15
19 1 16
19 2 15
19 3 7
19 4 25
