Generation Island NDifferentFitnesses
1 0 19
1 1 12
1 2 15
1 3 19
1 4 19
2 0 15
2 1 14
2 2 19
2 3 17
2 4 21
3 0 16
3 1 12
3 2 17
3 3 16
3 4 24
4 0 13
4 1 5
4 2 22
4 3 19
4 4 20
5 0 14
5 1 6
5 2 20
5 3 18
5 4 24
6 0 17
6 1 4
6 2 20
6 3 23
6 4 19
7 0 10
7 1 6
7 2 22
7 3 23
7 4 22
8 0 15
8 1 17
8 2 20
8 3 20
8 4 24
9 0 18
9 1 13
9 2 16
9 3 24
9 4 17
10 0 12
10 1 17
10 2 21
10 3 28
10 4 12
11 0 8
11 1 18
11 2 14
11 3 23
11 4 12
12 0 15
12 1 20
12 2 15
12 3 27
12 4 10
13 0 11
13 1 20
13 2 9
13 3 24
13 4 14
14 0 10
14 1 22
14 2 12
14 3 23
14 4 17
15 0 12
15 1 26
15 2 15
15 3 18
15 4 14
16 0 14
16 1 25
16 2 20
16 3 20
16 4 14
17 0 15
17 1 27
17 2 19
17 3 23
17 4 16
18 0 17
18 1 22
18 2 20
18 3 21
18 4 12
19 0 11
19 1 24
19 2 22
19 3 27
19 4 14
