gen island best mean std
0 0 57.188859 -0.326458 14.307428
0 1 30.721885 -1.778068 8.296613
0 2 66.091917 -1.45725 14.830253
0 3 57.16227 0.205472 14.526344
0 4 57.16227 -0.928211 11.16348
1 0 57.194865 6.633505 20.849558
1 1 30.721885 5.02916 11.152452
1 2 66.213103 5.5165 23.337116
1 3 57.16227 7.272009 20.835398
1 4 57.16227 7.167995 18.95019
2 0 60.692245 33.649411 28.054095
2 1 57.16227 8.110565 15.953051
2 2 66.213103 13.726719 28.069377
2 3 66.013548 13.810491 24.901768
2 4 66.16227 20.181612 25.134534
3 0 66.100103 34.674165 27.346181
3 1 57.16227 13.659055 20.723557
3 2 75.16227 32.062441 34.174568
3 3 66.111122 17.992681 23.511442
3 4 66.16227 30.384024 26.895075
4 0 75.091917 42.853459 24.045402
4 1 75.16227 25.50615 24.832871
4 2 75.16227 40.966133 29.180972
4 3 75.059829 30.476297 30.312203
4 4 66.16227 33.629798 29.359767
5 0 75.091917 46.468743 21.649649
5 1 75.16227 31.918335 32.167149
5 2 75.16227 45.906652 28.62345
5 3 75.059829 32.704119 30.515693
5 4 75.062464 41.012122 27.085036
6 0 75.091917 52.578466 18.194953
6 1 75.16227 43.04155 26.386541
6 2 75.16227 45.922651 32.093454
6 3 75.059829 44.977691 29.746087
6 4 75.062464 53.725499 19.258062
7 0 75.091917 50.320012 20.146578
7 1 75.16227 42.146053 29.326917
7 2 75.326677 54.664084 23.38375
7 3 88.50869 52.220255 26.371732
7 4 75.062464 54.633849 19.422262
8 0 75.125069 49.607701 20.989233
8 1 75.16227 43.282079 28.478162
8 2 75.326677 45.500733 30.135219
8 3 89.70869 58.444208 24.372039
8 4 75.091917 52.383855 21.614092
9 0 75.091917 55.660558 12.781888
9 1 75.16227 39.933756 29.706341
9 2 75.326677 40.965202 34.32657
9 3 89.70869 56.807161 24.37324
9 4 75.091917 50.156909 22.493323
10 0 75.091917 44.727725 23.699931
10 1 75.16227 37.222714 29.81375
10 2 75.601837 54.507805 30.027832
10 3 89.70869 58.135527 25.213544
10 4 75.091917 58.463329 14.719066
11 0 75.091917 47.84257 23.226365
11 1 75.16227 47.934766 29.264996
11 2 75.601837 47.119445 32.22427
11 3 89.401063 61.562683 21.386188
11 4 75.091917 56.853734 16.8149
12 0 75.091917 52.099597 21.840352
12 1 75.16227 44.338172 29.908005
12 2 75.601837 43.768562 31.919913
12 3 89.401063 56.836154 25.565295
12 4 75.094638 57.660035 17.179793
13 0 75.091917 26.907474 28.878758
13 1 75.16227 30.785375 32.622327
13 2 75.601837 50.753961 32.130225
13 3 89.067755 55.83465 29.449811
13 4 75.094638 53.862935 20.680404
14 0 75.091917 31.910996 30.712101
14 1 75.16227 41.649858 31.542366
14 2 75.601837 49.214978 33.132964
14 3 91.865106 54.563668 28.701852
14 4 75.094638 56.975819 15.594758
15 0 75.091917 32.603331 29.344369
15 1 75.16227 39.839612 32.350438
15 2 75.601837 42.240298 34.689103
15 3 91.865106 54.774056 27.923983
15 4 75.102846 59.554402 17.658025
16 0 75.091917 41.945056 28.406927
16 1 75.16227 44.365799 29.859514
16 2 75.601837 43.220669 34.132783
16 3 91.865106 64.710399 25.141696
16 4 75.102846 52.3757 22.795947
17 0 75.091917 48.28271 24.298083
17 1 75.16227 39.22462 29.539519
17 2 75.601837 45.683064 30.1683
17 3 91.865106 67.60941 19.18669
17 4 75.102846 53.710478 21.748376
18 0 75.091917 44.875783 26.843789
18 1 75.16227 42.553885 30.374414
18 2 75.601837 51.579089 27.879658
18 3 91.865106 65.039523 13.910701
18 4 75.16227 59.79316 20.532895
19 0 75.091917 54.614032 15.084666
19 1 75.16227 57.419654 15.909863
19 2 75.601837 24.401501 33.067402
19 3 91.865106 50.130214 31.018811
19 4 75.16227 54.580946 22.627758
