Generation Island NDifferentFitnesses
1 0 21
1 1 16
1 2 17
1 3 22
1 4 13
2 0 16
2 1 21
2 2 21
2 3 22
2 4 17
3 0 18
3 1 23
3 2 24
3 3 23
3 4 16
4 0 22
4 1 22
4 2 30
4 3 21
4 4 21
5 0 19
5 1 16
5 2 22
5 3 33
5 4 24
6 0 15
6 1 19
6 2 19
6 3 29
6 4 21
7 0 19
7 1 16
7 2 17
7 3 27
7 4 20
8 0 27
8 1 15
8 2 18
8 3 32
8 4 19
9 0 27
9 1 15
9 2 20
9 3 30
9 4 23
10 0 28
10 1 14
10 2 13
10 3 31
10 4 18
11 0 28
11 1 9
11 2 15
11 3 26
11 4 24
12 0 25
12 1 8
12 2 17
12 3 33
12 4 26
13 0 33
13 1 12
13 2 14
13 3 22
13 4 27
14 0 28
14 1 13
14 2 12
14 3 26
14 4 24
15 0 32
15 1 7
15 2 16
15 3 28
15 4 24
16 0 30
16 1 11
16 2 17
16 3 25
16 4 28
17 0 28
17 1 15
17 2 19
17 3 23
17 4 28
18 0 23
18 1 9
18 2 15
18 3 26
18 4 22
19 0 21
19 1 8
19 2 19
19 3 28
19 4 22
