Generation Island NDifferentFitnesses
1 0 18
1 1 25
1 2 21
1 3 23
1 4 18
2 0 21
2 1 22
2 2 23
2 3 25
2 4 24
3 0 16
3 1 32
3 2 20
3 3 22
3 4 21
4 0 13
4 1 17
4 2 26
4 3 18
4 4 17
5 0 23
5 1 21
5 2 13
5 3 9
5 4 16
6 0 10
6 1 20
6 2 14
6 3 8
6 4 24
7 0 9
7 1 26
7 2 13
7 3 7
7 4 18
8 0 10
8 1 22
8 2 13
8 3 14
8 4 21
9 0 15
9 1 17
9 2 18
9 3 15
9 4 17
10 0 20
10 1 21
10 2 11
10 3 14
10 4 8
11 0 15
11 1 19
11 2 9
11 3 11
11 4 8
12 0 14
12 1 20
12 2 11
12 3 10
12 4 19
13 0 16
13 1 17
13 2 10
13 3 13
13 4 9
14 0 23
14 1 12
14 2 12
14 3 15
14 4 11
15 0 18
15 1 13
15 2 12
15 3 13
15 4 10
16 0 16
16 1 21
16 2 14
16 3 6
16 4 20
17 0 15
17 1 16
17 2 13
17 3 18
17 4 20
18 0 15
18 1 18
18 2 12
18 3 16
18 4 22
19 0 11
19 1 19
19 2 13
19 3 10
19 4 21
