Generation Island NDifferentFitnesses
1 0 24
1 1 18
1 2 18
1 3 25
1 4 24
2 0 17
2 1 15
2 2 20
2 3 26
2 4 17
3 0 16
3 1 15
3 2 12
3 3 19
3 4 15
4 0 16
4 1 16
4 2 16
4 3 23
4 4 15
5 0 16
5 1 15
5 2 15
5 3 21
5 4 12
6 0 22
6 1 16
6 2 12
6 3 19
6 4 13
7 0 12
7 1 13
7 2 13
7 3 16
7 4 16
8 0 17
8 1 16
8 2 19
8 3 24
8 4 12
9 0 21
9 1 15
9 2 23
9 3 22
9 4 9
10 0 21
10 1 24
10 2 18
10 3 27
10 4 10
11 0 20
11 1 19
11 2 21
11 3 23
11 4 9
12 0 18
12 1 20
12 2 23
12 3 26
12 4 16
13 0 20
13 1 23
13 2 21
13 3 17
13 4 19
14 0 17
14 1 20
14 2 27
14 3 20
14 4 15
15 0 14
15 1 19
15 2 26
15 3 25
15 4 13
16 0 21
16 1 14
16 2 31
16 3 23
16 4 16
17 0 15
17 1 18
17 2 27
17 3 22
17 4 19
18 0 15
18 1 21
18 2 24
18 3 17
18 4 17
19 0 14
19 1 27
19 2 25
19 3 16
19 4 20
