gen island best mean std
0 0 87.727 0.355311 17.530141
0 1 87.727 8.794853 28.502945
0 2 91.772379 5.507094 25.610857
0 3 92.718596 12.476185 32.393311
0 4 91.772379 5.154934 24.217807
1 0 91.772379 22.451683 35.465838
1 1 92.500134 38.800853 39.472536
1 2 91.772379 16.317978 31.974517
1 3 89.196054 26.955009 35.646813
1 4 91.772379 30.430045 41.882409
2 0 91.772379 52.923308 38.371834
2 1 92.500134 57.811129 38.478904
2 2 91.772379 31.585384 41.076036
2 3 92.368891 42.381678 40.844321
2 4 91.772379 53.073227 43.062317
3 0 91.772379 61.924139 35.068516
3 1 92.500134 53.32631 37.732755
3 2 91.772379 54.075816 40.280074
3 3 92.494055 58.454404 37.314936
3 4 91.772379 58.225574 42.280782
4 0 92.500134 70.615566 30.025738
4 1 92.518596 71.736598 26.382487
4 2 92.494055 61.841001 33.808681
4 3 92.58272 54.722262 39.245898
4 4 92.53704 74.539129 28.617547
5 0 92.576119 73.578133 27.718491
5 1 92.531096 71.754123 25.876876
5 2 92.50625 65.19636 35.830697
5 3 92.58272 66.179308 34.690442
5 4 92.53704 71.992419 30.454438
6 0 92.576119 72.359412 28.04007
6 1 92.576119 74.484192 25.784107
6 2 92.50625 53.479586 34.967298
6 3 92.58272 78.192132 26.39193
6 4 92.572379 77.908692 23.591265
7 0 92.576119 77.208133 24.064236
7 1 92.576119 75.08511 26.521126
7 2 92.50625 34.290027 29.278544
7 3 92.58272 77.191411 24.155361
7 4 92.53704 70.780124 28.244716
8 0 92.576119 82.423521 20.299824
8 1 92.58272 70.508084 27.364484
8 2 92.58272 45.817327 32.746934
8 3 92.776119 82.498141 19.111559
8 4 91.93704 71.12629 27.518479
9 0 92.576119 78.830735 21.638264
9 1 92.58272 76.980257 25.473006
9 2 92.58272 64.492488 33.344578
9 3 92.776119 75.282087 25.73521
9 4 92.33704 79.560869 22.804059
10 0 92.576119 66.212336 31.68169
10 1 92.58272 67.85809 27.985887
10 2 92.58272 73.568579 28.231844
10 3 92.776119 83.641872 22.389891
10 4 92.33704 79.854593 21.471582
11 0 92.58272 70.682711 29.526466
11 1 92.58272 76.62703 22.326448
11 2 92.58272 83.387931 20.160206
11 3 92.776119 87.784467 17.862148
11 4 92.33704 65.158279 39.470986
12 0 92.58272 64.736523 32.69896
12 1 92.58272 79.146159 22.380919
12 2 92.776119 82.961922 18.146535
12 3 92.776119 88.803077 11.092087
12 4 92.58272 65.987432 34.752993
13 0 92.58272 66.776666 30.957907
13 1 92.58272 58.190508 40.5267
13 2 92.776119 81.172412 24.289515
13 3 92.776119 65.474923 40.864026
13 4 92.58272 74.822502 29.597233
14 0 92.58272 69.129786 29.616067
14 1 92.58272 71.028762 27.741199
14 2 92.776119 86.891442 13.22461
14 3 92.776119 82.5999 22.498502
14 4 92.58272 79.432665 21.256667
15 0 92.58272 76.795782 23.789888
15 1 92.58272 73.452932 26.936864
15 2 92.776119 77.740688 28.953855
15 3 92.776119 88.097362 9.721921
15 4 92.58272 80.975969 20.030435
16 0 92.58272 61.183167 37.10882
16 1 92.776119 75.38956 28.618786
16 2 92.776119 86.729943 17.809723
16 3 92.776119 76.522774 30.854363
16 4 92.58272 79.601081 24.25299
17 0 92.58272 70.708386 32.142162
17 1 92.776119 71.746765 32.086042
17 2 92.776119 73.730825 33.937052
17 3 92.776119 59.556279 41.052209
17 4 92.58272 59.440459 40.078077
18 0 92.58272 76.563461 27.837038
18 1 92.776119 76.585474 30.214772
18 2 92.776119 77.660446 31.745075
18 3 92.776119 68.668108 36.274443
18 4 92.58272 56.215463 43.299105
19 0 92.58272 81.854849 20.971733
19 1 92.776119 78.55855 27.696622
19 2 92.776119 81.027799 22.72586
19 3 92.524826 72.432214 32.319403
19 4 92.776119 56.268583 40.595979
