Generation Island NDifferentFitnesses
1 0 12
1 1 20
1 2 22
1 3 25
1 4 14
2 0 21
2 1 26
2 2 25
2 3 20
2 4 22
3 0 23
3 1 24
3 2 20
3 3 22
3 4 25
4 0 26
4 1 25
4 2 16
4 3 17
4 4 26
5 0 35
5 1 31
5 2 18
5 3 18
5 4 24
6 0 33
6 1 27
6 2 17
6 3 17
6 4 23
7 0 33
7 1 23
7 2 15
7 3 20
7 4 21
8 0 23
8 1 17
8 2 16
8 3 20
8 4 13
9 0 27
9 1 17
9 2 11
9 3 18
9 4 11
10 0 28
10 1 17
10 2 12
10 3 21
10 4 9
11 0 26
11 1 17
11 2 16
11 3 22
11 4 9
12 0 27
12 1 19
12 2 14
12 3 19
12 4 14
13 0 23
13 1 23
13 2 11
13 3 17
13 4 18
14 0 22
14 1 17
14 2 17
14 3 15
14 4 13
15 0 25
15 1 23
15 2 13
15 3 13
15 4 16
16 0 24
16 1 22
16 2 16
16 3 17
16 4 13
17 0 20
17 1 18
17 2 13
17 3 19
17 4 16
18 0 21
18 1 17
18 2 21
18 3 17
18 4 18
19 0 21
19 1 16
19 2 19
19 3 16
19 4 12
