Generation Island NDifferentFitnesses
1 0 20
1 1 25
1 2 25
1 3 19
1 4 21
2 0 21
2 1 27
2 2 22
2 3 20
2 4 28
3 0 20
3 1 21
3 2 15
3 3 19
3 4 26
4 0 19
4 1 17
4 2 18
4 3 23
4 4 25
5 0 19
5 1 14
5 2 12
5 3 12
5 4 15
6 0 18
6 1 16
6 2 10
6 3 14
6 4 19
7 0 19
7 1 15
7 2 13
7 3 22
7 4 19
8 0 20
8 1 15
8 2 11
8 3 19
8 4 20
9 0 17
9 1 13
9 2 23
9 3 12
9 4 14
10 0 21
10 1 12
10 2 19
10 3 14
10 4 12
11 0 18
11 1 11
11 2 11
11 3 18
11 4 19
12 0 19
12 1 11
12 2 22
12 3 18
12 4 14
13 0 18
13 1 10
13 2 22
13 3 16
13 4 21
14 0 17
14 1 12
14 2 18
14 3 19
14 4 21
15 0 21
15 1 12
15 2 18
15 3 15
15 4 17
16 0 17
16 1 11
16 2 14
16 3 19
16 4 20
17 0 18
17 1 18
17 2 22
17 3 17
17 4 21
18 0 17
18 1 8
18 2 15
18 3 22
18 4 21
19 0 17
19 1 11
19 2 11
19 3 17
19 4 15
