Generation Island NDifferentFitnesses
1 0 26
1 1 20
1 2 28
1 3 18
1 4 16
2 0 21
2 1 21
2 2 23
2 3 20
2 4 13
3 0 24
3 1 19
3 2 20
3 3 23
3 4 19
4 0 16
4 1 18
4 2 20
4 3 15
4 4 15
5 0 28
5 1 15
5 2 17
5 3 17
5 4 19
6 0 28
6 1 18
6 2 18
6 3 16
6 4 21
7 0 33
7 1 22
7 2 13
7 3 18
7 4 20
8 0 24
8 1 23
8 2 15
8 3 19
8 4 16
9 0 25
9 1 22
9 2 12
9 3 25
9 4 19
10 0 28
10 1 24
10 2 11
10 3 22
10 4 21
11 0 26
11 1 24
11 2 12
11 3 22
11 4 20
12 0 26
12 1 27
12 2 21
12 3 23
12 4 20
13 0 27
13 1 26
13 2 8
13 3 22
13 4 23
14 0 31
14 1 21
14 2 8
14 3 22
14 4 20
15 0 26
15 1 31
15 2 10
15 3 19
15 4 26
16 0 29
16 1 23
16 2 12
16 3 22
16 4 22
17 0 26
17 1 21
17 2 7
17 3 24
17 4 27
18 0 28
18 1 24
18 2 8
18 3 19
18 4 21
19 0 22
19 1 25
19 2 8
19 3 22
19 4 22
