Generation Island NDifferentFitnesses
1 0 26
1 1 21
1 2 23
1 3 19
1 4 24
2 0 32
2 1 21
2 2 24
2 3 17
2 4 18
3 0 24
3 1 18
3 2 16
3 3 13
3 4 14
4 0 24
4 1 24
4 2 17
4 3 13
4 4 16
5 0 20
5 1 19
5 2 19
5 3 18
5 4 18
6 0 22
6 1 14
6 2 19
6 3 9
6 4 19
7 0 25
7 1 9
7 2 17
7 3 9
7 4 13
8 0 17
8 1 12
8 2 15
8 3 9
8 4 17
9 0 21
9 1 13
9 2 16
9 3 11
9 4 15
10 0 14
10 1 15
10 2 18
10 3 5
10 4 10
11 0 17
11 1 16
11 2 18
11 3 8
11 4 16
12 0 11
12 1 23
12 2 16
12 3 7
12 4 15
13 0 14
13 1 18
13 2 19
13 3 8
13 4 19
14 0 10
14 1 19
14 2 16
14 3 9
14 4 17
15 0 17
15 1 18
15 2 12
15 3 6
15 4 17
16 0 18
16 1 13
16 2 10
16 3 11
16 4 9
17 0 19
17 1 12
17 2 17
17 3 11
17 4 11
18 0 19
18 1 12
18 2 12
18 3 10
18 4 10
19 0 13
19 1 23
19 2 11
19 3 10
19 4 11
