gen island best mean std
0 0 56.771489 1.737052 14.525916
0 1 56.773463 -0.64432 12.854199
0 2 74.860115 3.624402 19.315856
0 3 30.174 -3.302918 7.307005
0 4 20.773463 -2.824933 7.465393
1 0 85.5894 12.590588 25.347259
1 1 56.773463 13.217667 25.716487
1 2 87.697441 13.529091 29.10172
1 3 56.795442 3.24649 15.929981
1 4 65.773463 4.339765 16.824778
2 0 85.5894 24.924501 28.50746
2 1 56.773463 21.325036 23.253196
2 2 87.697441 25.751437 33.693363
2 3 56.795442 5.16859 15.613311
2 4 65.773463 17.180319 24.829014
3 0 85.5894 35.444368 26.124776
3 1 56.773463 33.436727 20.015441
3 2 87.697441 40.372553 29.987732
3 3 56.795442 13.470315 17.398357
3 4 85.253671 18.583633 28.111143
4 0 74.851532 49.667936 20.485191
4 1 87.697441 35.529722 23.656344
4 2 88.228738 41.353566 29.352844
4 3 85.253671 14.59839 21.818033
4 4 65.775442 28.311789 24.71991
5 0 74.851532 47.429863 21.732184
5 1 87.697441 43.61193 26.088832
5 2 91.364519 46.940245 23.45207
5 3 85.253671 24.954317 28.513712
5 4 65.775442 37.485219 26.209339
6 0 86.613791 43.283596 25.997686
6 1 87.697441 40.976622 27.254864
6 2 91.364519 44.375005 21.68493
6 3 85.253671 38.504805 29.3408
6 4 65.775442 40.627774 25.354073
7 0 86.613791 47.935345 23.853345
7 1 87.697441 43.793207 21.105564
7 2 91.364519 45.431955 22.0558
7 3 85.253671 44.113575 27.554447
7 4 74.773463 42.224896 24.472399
8 0 87.697441 37.867399 27.546633
8 1 91.364519 49.600529 20.277594
8 2 91.364519 49.74735 24.989382
8 3 85.253671 49.078076 23.982206
8 4 86.613791 39.184887 23.970965
9 0 87.697441 41.758388 25.084293
9 1 91.364519 46.491755 23.29373
9 2 91.364519 47.582951 25.34592
9 3 85.253671 29.185103 33.16818
9 4 86.613791 43.005132 21.700233
10 0 87.697441 42.042974 22.429257
10 1 91.364519 47.645357 22.418839
10 2 91.364519 34.970143 31.6502
10 3 85.253671 37.729666 30.787507
10 4 86.613791 42.519699 21.358064
11 0 87.697441 42.462164 22.64907
11 1 91.364519 48.564486 24.428882
11 2 91.364519 34.618001 28.347543
11 3 85.253671 41.231831 33.165491
11 4 87.468774 54.372874 17.519106
12 0 91.364519 41.944102 22.482634
12 1 91.364519 41.281392 21.235219
12 2 91.364519 45.671695 25.481336
12 3 87.468774 42.983931 25.675145
12 4 87.697441 48.340261 24.214875
13 0 88.993424 46.34794 21.744516
13 1 85.278422 40.408113 23.515098
13 2 91.364519 46.630352 24.202989
13 3 87.468774 50.085454 27.54489
13 4 87.697441 46.396849 25.223862
14 0 88.993424 51.674559 22.931621
14 1 85.278422 45.906421 23.323453
14 2 91.364519 39.808462 26.510033
14 3 87.468774 39.391766 32.393492
14 4 88.640905 48.340464 24.91554
15 0 88.993424 45.791015 24.68108
15 1 85.278422 48.671743 22.557073
15 2 91.364519 43.272204 22.543147
15 3 87.468774 37.963064 29.715609
15 4 87.697441 38.056349 22.107636
16 0 88.993424 47.50758 23.988341
16 1 91.364519 44.949078 18.902672
16 2 91.364519 44.940717 23.796117
16 3 87.697441 45.845407 22.661317
16 4 88.993424 45.076278 26.59517
17 0 88.993424 47.802417 24.5839
17 1 91.364519 37.922218 33.322156
17 2 86.497367 35.523656 25.282
17 3 87.697441 48.700853 24.857539
17 4 88.993424 41.405892 21.008109
18 0 88.993424 44.290768 21.810767
18 1 91.364519 39.644753 29.082286
18 2 86.497367 40.073817 23.506264
18 3 87.697441 38.648158 29.425794
18 4 88.993424 43.339715 18.661128
19 0 88.993424 43.734779 22.621394
19 1 91.364519 40.908089 24.932442
19 2 86.497367 49.927218 26.899711
19 3 87.697441 39.865363 25.143902
19 4 88.993424 48.417167 20.784258
