Generation Island NDifferentFitnesses
1 0 17
1 1 16
1 2 15
1 3 19
1 4 17
2 0 17
2 1 17
2 2 27
2 3 27
2 4 20
3 0 21
3 1 24
3 2 27
3 3 20
3 4 21
4 0 16
4 1 21
4 2 32
4 3 24
4 4 20
5 0 17
5 1 14
5 2 30
5 3 18
5 4 20
6 0 14
6 1 11
6 2 32
6 3 15
6 4 21
7 0 10
7 1 16
7 2 32
7 3 12
7 4 20
8 0 11
8 1 20
8 2 26
8 3 12
8 4 22
9 0 15
9 1 18
9 2 21
9 3 15
9 4 21
10 0 15
10 1 18
10 2 14
10 3 11
10 4 15
11 0 12
11 1 25
11 2 11
11 3 7
11 4 21
12 0 16
12 1 24
12 2 11
12 3 8
12 4 22
13 0 18
13 1 24
13 2 17
13 3 10
13 4 15
14 0 22
14 1 22
14 2 12
14 3 10
14 4 23
15 0 26
15 1 21
15 2 14
15 3 9
15 4 19
16 0 27
16 1 17
16 2 15
16 3 19
16 4 17
17 0 28
17 1 15
17 2 21
17 3 10
17 4 19
18 0 23
18 1 17
18 2 17
18 3 13
18 4 17
19 0 26
19 1 13
19 2 20
19 3 15
19 4 20
