Generation Island NDifferentFitnesses
1 0 12
1 1 19
1 2 18
1 3 14
1 4 17
2 0 11
2 1 22
2 2 21
2 3 20
2 4 24
3 0 7
3 1 17
3 2 18
3 3 16
3 4 23
4 0 9
4 1 18
4 2 16
4 3 11
4 4 25
5 0 9
5 1 16
5 2 12
5 3 15
5 4 24
6 0 10
6 1 14
6 2 14
6 3 18
6 4 23
7 0 10
7 1 24
7 2 14
7 3 21
7 4 30
8 0 14
8 1 21
8 2 17
8 3 27
8 4 26
9 0 19
9 1 11
9 2 19
9 3 20
9 4 31
10 0 15
10 1 16
10 2 17
10 3 20
10 4 28
11 0 15
11 1 21
11 2 20
11 3 23
11 4 24
12 0 21
12 1 17
12 2 26
12 3 19
12 4 27
13 0 19
13 1 21
13 2 25
13 3 28
13 4 29
14 0 16
14 1 23
14 2 17
14 3 31
14 4 32
15 0 15
15 1 19
15 2 19
15 3 26
15 4 33
16 0 14
16 1 19
16 2 19
16 3 20
16 4 35
17 0 25
17 1 21
17 2 25
17 3 29
17 4 27
18 0 20
18 1 18
18 2 26
18 3 31
18 4 31
19 0 21
19 1 26
19 2 23
19 3 29
19 4 27
