Generation Island NDifferentFitnesses
1 0 16
1 1 15
1 2 19
1 3 24
1 4 18
2 0 17
2 1 14
2 2 19
2 3 25
2 4 22
3 0 8
3 1 18
3 2 23
3 3 17
3 4 23
4 0 10
4 1 14
4 2 21
4 3 22
4 4 20
5 0 9
5 1 17
5 2 16
5 3 16
5 4 27
6 0 10
6 1 14
6 2 15
6 3 16
6 4 28
7 0 16
7 1 11
7 2 13
7 3 13
7 4 21
8 0 18
8 1 14
8 2 10
8 3 14
8 4 25
9 0 15
9 1 11
9 2 8
9 3 12
9 4 26
10 0 17
10 1 11
10 2 12
10 3 14
10 4 25
11 0 19
11 1 12
11 2 11
11 3 11
11 4 32
12 0 23
12 1 13
12 2 11
12 3 9
12 4 24
13 0 23
13 1 14
13 2 7
13 3 11
13 4 20
14 0 33
14 1 10
14 2 15
14 3 17
14 4 23
15 0 26
15 1 13
15 2 14
15 3 13
15 4 21
16 0 28
16 1 17
16 2 11
16 3 15
16 4 16
17 0 28
17 1 15
17 2 9
17 3 15
17 4 23
18 0 26
18 1 10
18 2 17
18 3 9
18 4 22
19 0 25
19 1 14
19 2 12
19 3 6
19 4 17
