Generation Island NDifferentFitnesses
1 0 13
1 1 25
1 2 25
1 3 18
1 4 25
2 0 19
2 1 26
2 2 20
2 3 19
2 4 24
3 0 19
3 1 28
3 2 23
3 3 12
3 4 22
4 0 20
4 1 28
4 2 19
4 3 12
4 4 26
5 0 28
5 1 31
5 2 14
5 3 12
5 4 25
6 0 29
6 1 18
6 2 14
6 3 10
6 4 20
7 0 23
7 1 27
7 2 16
7 3 13
7 4 15
8 0 26
8 1 30
8 2 18
8 3 10
8 4 12
9 0 28
9 1 22
9 2 16
9 3 7
9 4 18
10 0 23
10 1 23
10 2 18
10 3 17
10 4 11
11 0 32
11 1 19
11 2 23
11 3 19
11 4 13
12 0 33
12 1 22
12 2 24
12 3 14
12 4 13
13 0 28
13 1 26
13 2 18
13 3 14
13 4 11
14 0 24
14 1 22
14 2 18
14 3 22
14 4 16
15 0 29
15 1 23
15 2 19
15 3 22
15 4 20
16 0 28
16 1 17
16 2 21
16 3 14
16 4 15
17 0 28
17 1 24
17 2 15
17 3 14
17 4 19
18 0 30
18 1 22
18 2 11
18 3 12
18 4 12
19 0 25
19 1 19
19 2 12
19 3 16
19 4 23
