Generation Island NDifferentFitnesses
1 0 21
1 1 20
1 2 18
1 3 16
1 4 18
2 0 27
2 1 15
2 2 20
2 3 20
2 4 18
3 0 15
3 1 12
3 2 14
3 3 14
3 4 18
4 0 9
4 1 13
4 2 18
4 3 21
4 4 20
5 0 10
5 1 17
5 2 19
5 3 17
5 4 18
6 0 7
6 1 21
6 2 15
6 3 9
6 4 15
7 0 12
7 1 15
7 2 8
7 3 15
7 4 14
8 0 11
8 1 20
8 2 11
8 3 13
8 4 14
9 0 12
9 1 21
9 2 10
9 3 7
9 4 9
10 0 11
10 1 14
10 2 8
10 3 9
10 4 9
11 0 14
11 1 21
11 2 14
11 3 11
11 4 13
12 0 13
12 1 20
12 2 16
12 3 12
12 4 10
13 0 14
13 1 22
13 2 14
13 3 9
13 4 18
14 0 11
14 1 14
14 2 16
14 3 8
14 4 12
15 0 12
15 1 19
15 2 16
15 3 10
15 4 13
16 0 12
16 1 17
16 2 17
16 3 14
16 4 14
17 0 13
17 1 19
17 2 19
17 3 12
17 4 13
18 0 18
18 1 20
18 2 13
18 3 13
18 4 10
19 0 9
19 1 24
19 2 15
19 3 12
19 4 11
