Generation Island NDifferentFitnesses
1 0 16
1 1 16
1 2 11
1 3 16
1 4 16
2 0 15
2 1 19
2 2 11
2 3 20
2 4 22
3 0 14
3 1 11
3 2 14
3 3 19
3 4 17
4 0 6
4 1 10
4 2 13
4 3 18
4 4 15
5 0 7
5 1 7
5 2 9
5 3 17
5 4 15
6 0 13
6 1 5
6 2 3
6 3 12
6 4 16
7 0 11
7 1 9
7 2 3
7 3 10
7 4 12
8 0 12
8 1 7
8 2 8
8 3 16
8 4 17
9 0 6
9 1 7
9 2 7
9 3 17
9 4 21
10 0 11
10 1 7
10 2 15
10 3 12
10 4 21
11 0 9
11 1 6
11 2 20
11 3 9
11 4 22
12 0 12
12 1 10
12 2 19
12 3 10
12 4 18
13 0 11
13 1 13
13 2 12
13 3 15
13 4 13
14 0 16
14 1 14
14 2 12
14 3 14
14 4 11
15 0 10
15 1 17
15 2 8
15 3 17
15 4 13
16 0 12
16 1 17
16 2 10
16 3 18
16 4 6
17 0 8
17 1 16
17 2 17
17 3 14
17 4 10
18 0 11
18 1 15
18 2 17
18 3 17
18 4 8
19 0 9
19 1 9
19 2 18
19 3 17
19 4 10
