Generation Island NDifferentFitnesses
1 0 19
1 1 21
1 2 15
1 3 25
1 4 14
2 0 12
2 1 16
2 2 15
2 3 26
2 4 13
3 0 13
3 1 15
3 2 17
3 3 26
3 4 13
4 0 15
4 1 19
4 2 12
4 3 25
4 4 17
5 0 11
5 1 15
5 2 13
5 3 25
5 4 22
6 0 11
6 1 18
6 2 22
6 3 23
6 4 16
7 0 13
7 1 17
7 2 25
7 3 25
7 4 19
8 0 7
8 1 22
8 2 30
8 3 24
8 4 15
9 0 5
9 1 25
9 2 31
9 3 25
9 4 12
10 0 14
10 1 23
10 2 35
10 3 22
10 4 15
11 0 6
11 1 28
11 2 29
11 3 23
11 4 15
12 0 11
12 1 29
12 2 24
12 3 23
12 4 23
13 0 13
13 1 30
13 2 24
13 3 25
13 4 20
14 0 18
14 1 35
14 2 28
14 3 21
14 4 17
15 0 22
15 1 36
15 2 25
15 3 21
15 4 18
16 0 27
16 1 35
16 2 21
16 3 28
16 4 16
17 0 24
17 1 29
17 2 21
17 3 34
17 4 18
18 0 29
18 1 27
18 2 26
18 3 28
18 4 27
19 0 30
19 1 20
19 2 20
19 3 32
19 4 22
