gen island best mean std
0 0 91.772379 7.026098 26.043449
0 1 91.644173 7.122998 27.664368
0 2 91.772379 5.147371 26.535392
0 3 91.772379 11.066165 33.233353
0 4 91.772379 15.337736 36.434194
1 0 91.772379 23.636621 40.237112
1 1 91.772379 29.195963 40.953665
1 2 92.500134 32.563649 43.101329
1 3 91.772379 41.483915 42.963093
1 4 92.372379 39.63286 44.562238
2 0 91.772379 43.174717 45.206587
2 1 91.772379 57.40769 38.442843
2 2 92.500134 58.644466 41.988205
2 3 92.512404 55.847046 43.442835
2 4 92.372379 54.772665 41.705874
3 0 91.772379 60.869075 42.418541
3 1 91.772379 56.4871 37.693904
3 2 92.500134 55.274197 38.8348
3 3 92.512404 68.722215 37.897459
3 4 92.44704 68.899059 38.114959
4 0 91.772379 71.938767 35.185357
4 1 92.372379 64.107458 35.05827
4 2 92.500134 66.760755 33.809665
4 3 92.512404 83.592634 20.87463
4 4 92.44704 79.130189 26.264724
5 0 91.772379 74.597854 33.749864
5 1 92.93194 71.04426 31.876221
5 2 92.500134 64.938379 33.504032
5 3 92.927 78.33594 27.200674
5 4 92.44704 84.04517 19.573927
6 0 92.527 73.133764 33.391569
6 1 92.93194 70.241937 29.610433
6 2 92.500134 66.215267 36.281327
6 3 92.927 84.290693 21.646826
6 4 92.44704 78.398642 24.406758
7 0 92.527 80.618811 25.877769
7 1 92.93194 72.550491 29.384955
7 2 92.500134 76.7203 28.103888
7 3 93.527 79.172285 27.516963
7 4 92.44704 80.372702 22.417713
8 0 92.93194 72.422698 34.567747
8 1 92.93194 80.049033 23.312472
8 2 92.500134 70.526967 33.455892
8 3 93.527 77.925174 24.2029
8 4 92.44704 72.408916 32.327391
9 0 92.93194 76.837539 28.864607
9 1 92.93194 78.022339 24.21528
9 2 92.500134 72.872614 31.350869
9 3 93.527 72.469243 26.298353
9 4 92.44704 84.805254 17.449135
10 0 92.93194 69.48285 31.922848
10 1 92.93194 76.233556 27.481747
10 2 92.500134 64.628093 36.300783
10 3 93.527 81.641754 21.485778
10 4 92.44704 89.358526 10.596562
11 0 92.93194 85.096957 17.36489
11 1 92.93194 83.287367 19.978621
11 2 92.500134 64.151933 35.935858
11 3 93.527 80.224935 22.709071
11 4 92.44704 90.983876 6.858011
12 0 92.93194 84.223276 19.742961
12 1 92.93194 83.832826 17.191172
12 2 93.527 61.511864 36.946424
12 3 93.527 59.178394 41.812281
12 4 92.44704 65.140247 36.692222
13 0 92.93194 59.092742 37.949222
13 1 92.93194 77.080999 25.069124
13 2 93.527 61.731393 37.39493
13 3 94.369562 78.562797 28.747823
13 4 92.44704 79.616374 25.59031
14 0 92.93194 77.666996 22.015185
14 1 92.93194 65.193265 35.215592
14 2 93.527 75.858484 28.586194
14 3 94.369562 79.45823 22.618029
14 4 92.44704 85.48257 16.785585
15 0 92.93194 79.039547 21.532191
15 1 92.93194 54.853333 32.307108
15 2 93.527 63.401471 36.300832
15 3 94.369562 80.298548 23.18481
15 4 92.44704 88.910549 12.268528
16 0 92.93194 81.153314 23.066988
16 1 92.93194 62.562961 37.065142
16 2 93.527 71.943022 31.890358
16 3 94.369562 82.012118 23.280244
16 4 92.44704 82.749435 26.340339
17 0 92.93194 60.201027 33.717753
17 1 92.93194 82.472639 23.14403
17 2 93.527 73.272521 30.643018
17 3 94.369562 76.308303 25.150945
17 4 92.44704 87.033707 15.231443
18 0 92.93194 73.901475 25.235025
18 1 92.93194 56.291952 37.414258
18 2 93.527 82.10987 20.853226
18 3 94.369562 82.019483 25.34802
18 4 92.44704 83.103574 19.669107
19 0 93.370654 71.971275 29.14936
19 1 92.93194 68.986345 35.528373
19 2 93.527 81.623055 20.254469
19 3 94.369562 78.690443 25.75477
19 4 92.44704 86.885614 14.518261
