Generation Island NDifferentFitnesses
1 0 24
1 1 22
1 2 18
1 3 22
1 4 24
2 0 20
2 1 15
2 2 15
2 3 17
2 4 19
3 0 18
3 1 15
3 2 23
3 3 11
3 4 14
4 0 11
4 1 23
4 2 23
4 3 12
4 4 10
5 0 10
5 1 27
5 2 24
5 3 9
5 4 10
6 0 12
6 1 25
6 2 22
6 3 8
6 4 12
7 0 13
7 1 28
7 2 17
7 3 14
7 4 12
8 0 15
8 1 24
8 2 21
8 3 9
8 4 11
9 0 15
9 1 21
9 2 15
9 3 17
9 4 11
10 0 21
10 1 25
10 2 16
10 3 11
10 4 10
11 0 14
11 1 25
11 2 14
11 3 12
11 4 8
12 0 17
12 1 23
12 2 21
12 3 20
12 4 19
13 0 30
13 1 21
13 2 21
13 3 20
13 4 15
14 0 27
14 1 25
14 2 14
14 3 19
14 4 12
15 0 25
15 1 23
15 2 22
15 3 13
15 4 8
16 0 24
16 1 28
16 2 15
16 3 19
16 4 13
17 0 28
17 1 19
17 2 19
17 3 16
17 4 14
18 0 25
18 1 25
18 2 16
18 3 17
18 4 14
19 0 26
19 1 22
19 2 15
19 3 20
19 4 15
