Generation Island NDifferentFitnesses
1 0 21
1 1 22
1 2 22
1 3 19
1 4 24
2 0 21
2 1 20
2 2 16
2 3 18
2 4 21
3 0 23
3 1 19
3 2 16
3 3 20
3 4 24
4 0 15
4 1 12
4 2 12
4 3 20
4 4 24
5 0 12
5 1 10
5 2 8
5 3 21
5 4 22
6 0 11
6 1 13
6 2 17
6 3 23
6 4 12
7 0 13
7 1 11
7 2 18
7 3 30
7 4 17
8 0 15
8 1 24
8 2 19
8 3 23
8 4 17
9 0 16
9 1 23
9 2 14
9 3 28
9 4 20
10 0 6
10 1 20
10 2 23
10 3 22
10 4 19
11 0 19
11 1 16
11 2 17
11 3 25
11 4 18
12 0 15
12 1 22
12 2 25
12 3 20
12 4 16
13 0 16
13 1 32
13 2 25
13 3 30
13 4 18
14 0 13
14 1 33
14 2 23
14 3 28
