gen island best mean std
0 0 91.772379 9.947219 32.177094
0 1 91.772379 10.618355 26.774987
0 2 92.379644 14.592722 35.658819
0 3 92.462462 11.793892 34.918275
0 4 87.727 4.794619 24.002707
1 0 91.772379 26.441147 41.943368
1 1 91.772379 28.423419 40.12226
1 2 91.772379 41.780944 41.147947
1 3 92.462462 38.763741 43.157624
1 4 89.785064 15.868226 34.596592
2 0 91.772379 53.023349 40.353844
2 1 91.84704 55.251334 41.34064
2 2 91.772379 60.014318 36.627331
2 3 92.58272 53.210396 39.540798
2 4 92.494055 49.926673 39.80912
3 0 91.772379 74.064662 36.157684
3 1 92.53704 62.746946 39.25978
3 2 91.772379 62.044631 39.494033
3 3 92.58272 62.474684 39.692273
3 4 92.576119 66.025162 34.727085
4 0 92.527 87.780869 17.799054
4 1 93.789365 79.859904 25.818588
4 2 92.13704 78.790553 29.436167
4 3 92.58272 74.087107 31.042525
4 4 92.512404 69.486673 36.381851
5 0 92.527 86.972849 18.076603
5 1 93.789365 82.848104 21.556093
5 2 92.13704 88.478809 8.278735
5 3 92.58272 74.836725 30.195103
5 4 92.576119 71.085863 31.139148
6 0 92.527 84.333325 25.578592
6 1 93.789365 88.190039 16.477225
6 2 92.13704 85.654185 17.635528
6 3 92.58272 74.117773 31.520693
6 4 92.58272 64.488886 37.384649
7 0 92.527 83.078661 24.451007
7 1 93.789365 74.304353 34.44107
7 2 92.13704 88.463597 13.916873
7 3 92.58272 68.1824 37.298767
7 4 92.58272 77.26017 27.383304
8 0 92.527 82.866871 27.014694
8 1 93.589365 85.619293 19.972486
8 2 92.13704 88.892568 11.630922
8 3 92.58272 80.317477 25.823302
8 4 92.58272 82.877441 19.355885
9 0 93.127 80.084587 29.404245
9 1 93.789365 64.603948 41.533018
9 2 92.927 83.986728 21.689375
9 3 92.718596 79.023119 26.628569
9 4 92.58272 83.96647 18.138626
10 0 93.127 88.96373 10.441686
10 1 93.789365 77.6385 29.381139
10 2 92.927 87.533194 17.005532
10 3 92.58272 75.503451 31.838166
10 4 92.58272 88.663659 10.224752
11 0 93.127 90.369175 9.673896
11 1 93.789365 78.963513 23.10565
11 2 93.727 89.046296 10.378863
11 3 92.718596 82.409934 23.004565
11 4 92.58272 73.242955 32.321165
12 0 93.127 91.603381 1.056102
12 1 93.989365 80.789243 26.881834
12 2 93.727 83.837022 19.718421
12 3 92.776119 78.354154 28.709642
12 4 92.58272 79.029894 22.69806
13 0 93.127 90.086691 12.349016
13 1 93.989365 77.177759 27.504012
13 2 93.727 84.485777 21.177164
13 3 92.776119 81.883954 25.805236
13 4 92.58272 79.970205 20.661003
14 0 93.127 62.616235 43.850888
14 1 93.989365 89.619023 6.116848
14 2 93.727 84.533552 20.591089
14 3 92.776119 73.543801 33.232688
14 4 92.58272 83.108762 18.154106
15 0 93.727 60.492926 45.131736
15 1 93.989365 85.852535 18.51587
15 2 93.727 84.400172 21.880568
15 3 92.776119 75.441551 35.04789
15 4 92.58272 64.010581 35.917001
16 0 93.727 81.900159 26.945358
16 1 93.989365 86.501133 14.628311
16 2 93.727 66.962677 37.299692
16 3 92.776119 78.913128 29.47195
16 4 92.58272 75.088702 28.375155
17 0 93.727 87.768037 14.225795
17 1 93.989365 84.656543 20.289249
17 2 93.727 67.031916 38.233821
17 3 92.776119 57.51247 41.569288
17 4 92.58272 75.886608 24.607911
18 0 93.727 89.821286 8.171079
18 1 93.989365 85.732287 16.952678
18 2 93.727 76.007925 31.31891
18 3 92.776119 76.540707 31.673764
18 4 92.58272 81.751427 20.256115
19 0 93.727 91.0037 4.241806
19 1 93.989365 84.78401 18.06907
19 2 93.727 89.673627 5.829883
19 3 92.776119 88.342482 13.869595
19 4 92.58272 66.596382 34.869608
