Generation Island NDifferentFitnesses
1 0 23
1 1 20
1 2 26
1 3 21
1 4 26
2 0 16
2 1 21
2 2 26
2 3 24
2 4 29
3 0 6
3 1 21
3 2 16
3 3 19
3 4 26
4 0 6
4 1 15
4 2 14
4 3 18
4 4 24
5 0 9
5 1 15
5 2 12
5 3 19
5 4 21
6 0 8
6 1 16
6 2 10
6 3 23
6 4 16
7 0 13
7 1 19
7 2 8
7 3 19
7 4 21
8 0 8
8 1 22
8 2 10
8 3 16
8 4 22
9 0 14
9 1 20
9 2 15
9 3 22
9 4 17
10 0 11
10 1 22
10 2 9
10 3 20
10 4 20
11 0 12
11 1 29
11 2 10
11 3 22
11 4 24
12 0 13
12 1 27
12 2 12
12 3 23
12 4 29
13 0 11
13 1 28
13 2 13
13 3 22
13 4 22
14 0 23
14 1 33
14 2 17
14 3 29
14 4 20
15 0 18
15 1 29
15 2 13
15 3 26
15 4 25
16 0 18
16 1 36
16 2 14
16 3 26
16 4 26
17 0 17
17 1 32
17 2 15
17 3 24
17 4 21
18 0 24
18 1 25
18 2 18
18 3 25
18 4 24
19 0 18
19 1 31
19 2 12
19 3 27
19 4 18
