Generation Island NDifferentFitnesses
1 0 27
1 1 22
1 2 21
1 3 22
1 4 20
2 0 21
2 1 27
2 2 19
2 3 20
2 4 17
3 0 22
3 1 24
3 2 17
3 3 10
3 4 20
4 0 21
4 1 31
4 2 19
4 3 12
4 4 16
5 0 14
5 1 20
5 2 14
5 3 16
5 4 22
6 0 18
6 1 16
6 2 11
6 3 14
6 4 23
7 0 21
7 1 13
7 2 7
7 3 23
7 4 21
8 0 23
8 1 14
8 2 10
8 3 13
8 4 22
9 0 16
9 1 17
9 2 14
9 3 11
9 4 24
10 0 14
10 1 7
10 2 11
10 3 20
10 4 26
11 0 14
11 1 6
11 2 10
11 3 19
11 4 20
12 0 16
12 1 11
12 2 14
12 3 26
12 4 19
13 0 16
13 1 10
13 2 14
13 3 20
13 4 20
14 0 16
14 1 14
14 2 12
14 3 35
14 4 20
15 0 10
15 1 10
15 2 12
15 3 32
15 4 20
16 0 16
16 1 10
16 2 13
16 3 28
16 4 24
17 0 14
17 1 10
17 2 9
17 3 32
17 4 21
18 0 16
18 1 10
18 2 8
18 3 24
18 4 19
19 0 13
19 1 11
19 2 9
19 3 28
19 4 19
